lfdn,v_170
58,frustration & expensive correction cycles & political discussions
76,Delays and frustration for team members
114,"stakeholder request and system, SW requirement have the same content"
115,"Change request of customers until the very end of each project, which have to be fulfilled because Sales and Project Management tells us so."
118,"errors are found too late, unmotivated requirement engineer"
119,"awkward development process - longer time to develop, more rework."
147,"A lot of rework, incorrect customer expectations, uncertainty, etc."
163,"Frustration, product delivered does not meet customer needs and is often over budget and late if delivered at all. "
166,Both customer and development team frustrated
168,Team members often feel confused and don't know what to do.
180,Requirements not being met  Dissatisfaction with the quality of system  Lack in (reporting) data capture
188,Delays in delivery of the project because the developers do not fully understand the things that are requested by the Product Owner.
197,Slow to market and usually not what the customer wants.  This then requires the same long term iteration to correct or re-develop the requirements to be fit for purpose.
199,Lots of extra cost without the benefit of the process.  That is there is very little advantage in filling in the paperwork to match software developed without the benefit of a mature process.  The paperwork bends to match the software rather than the software benefiting from the development process.  This is generally more costly than following the process from the beginning and provides very little positive influence on the final product.
208,"two many iterations, overrun the proposed timeframe, contradictory and inconsistend requirements, unsatisfied stakeholders"
210,"a lot of work, sometimes based on assumptions"
217,System are not used for a long period before they neglect it
231,Risk of not conforming to stakeholder needs
258,"1) we're trying to move to a concept where we allocate Budget for a year by rule of thumb. Then we try to specify small  increments  (a set of Features that together make sense and add a new Option.) and document them well. Have them implemented, check them and put them live. Then - if Budget is left - we'll try to address the next  increment .  2) We started with RE and me as an RE added to the Team after the first experience. Now we're disussing of making the (regression and new Feature validation) tests availble for the external development Team. Test Management adivised us earlier that this could be not a good idea cause once you Hand them over, discussions over  you Need to accept what we delivered  may occure and it would be more difficult to argue - well yes the tests are green - but still something is not as it should be and that is...  3) We're upgrading System A and it is supposed to have a working Integration with System B in its new Version. And also System A's new Version should have a prober working web-Login. So once we provide that the external development Team hopefully can log in from their Workstations to System A and check the Requirements, test cases and bugs..."
263,Delay and difficult stakeholder relationship as devlopment is not always going into the right direction -> waste of time and resources
268,Teams are not getting things done
295,The project is not successful.
297,A not reliable and not functionally satisfactory product
355,"We are not sure, if we are in time and if we have implemented everything according A-SPICE Level 2"
359,Sharing information by modeling
393,system rather implements a better version of status quo instead of real innovation
446,Requirements are missed and not kept in sync with actuak requirments
461,"misunderstandings with the client are generated, incomplete or poorly designed features."
467,"Re work, bad project scope control and therefore problems in time, quality, or costs thereof. In addition to customer dissatisfaction and possible failure of the project."
468,"Improperly elicited requirements may lead to software that does not meet the customer needs. Therefore, it is critical that requirements are properly specified and validated by the client."
489,"Bad software, low customer acceptance"
496,Delayed projects  User Needs not Met completely  Full value of project intent not realized - remaining backlog  leads to workarounds and shadow IT  Project runs out of money buy only MVP is deployed
523,Different interpretations lead to the product to be developed in the wrong way
524,The systems do not fully meet the needs of users. Frequent corrections or updates are required. Objectives of the organization are not met
545,"We will set up a knowledge Exchange, that following parts of SD and Development will shadow Business Analysts to understand their work and give ideas to improve. "
560,Delays in solving problems
572,What gets delivered will not align to the requirements defined.
634,"Doing a lot of useless work (code), and not being able to define the scope of the tests."
