lfdn,v_20
30,No
35,no
41,No
48,BS in Computer Science
58,IREB Foundation
75,"CBAP, SAFe Agilist"
76,No
79,IREB_CPRE_Foundation_Level
81,no
82,No
84,I have certificates in Business modelling
91,IPMA/B
93,"Yes, IREB foundation (and many courses like: projectmanagement, process managagement, information management etc)"
102,CPRE Foundation
106,CBAP
115,No
118,CPRE
119,BEng & Doulos
120,"Yes, IREB Foundation"
126,No
129,CBAP
137,"Yes, university degree"
141,"Business System Analysis Certificate (BSAC), Schulich Business Analyst Masters Certificate"
144,"yes, CBAP (also PSM I and CSM)"
146,IREB foundation
147,"BCS International Diploma in Business Analysis, IREB CPRE Foundation, Professional Scrum Master I, Professional Scrum Product Owner I"
150,No
160,CPREFL
162,No
163,CBAP
165,Not yet
166,cbap
167,No
168,No.
170,no
178,IREB Fundamental
179,do not
180,No
182,No
184,no
188,No
199,DO-178C Like
203,No
205,"MBA, PMP"
207,"IREB, Product Owner"
208,IREB Foundation
213,No
215,ISTQB
217,no
221,CPRE Foundation Level
230,No
231,"PMI PMP, PRINCE2 Practitioner, CompTIA Project+"
249,No
258,CPRE (Foundation Level)
259,no
263,BCS Business Analysis Foundation
267,No
268,Itilv3
278,No
283,ISTQB
291,IREB Foundation & Advanced levels
292,no
295,no
297,CPRE FL
304,CPRE AL
310,CPRE Advanced Level (Modeling)
315,"Certified Professional for Requirements Engineering (Foundation and Advanced), Professional Scrum Product Owner, Professional Scrum Master, PMP"
317,no
332,no
341,do not
349,DO NOT
355,CPRE
359,No
364,irep
370,yes - CPRE-FL
372,no
378,-
384,PMI-PMP
387,ISTQB
393,No.
412,"Yes, Software Architecture Proffesional"
416,No
420,PhD
425,Requirement Engineering
429,No
437,PMP
442,PMP
444,do not
446,no
453,do not
454,"ITIL, PMP"
461,do not
467,do not
468,I have a master's degree in Software Engineering and a PhD in Computer Science
479,"IREB CPRE Foundation Level, Automotive Functional Safety Professional"
482,"ISTQB,CSM"
489,Product Owner
502,No.
506,Y
507,no
511,No
512,no
523,No
524,Degree in Information Systems
541,No
545,Prince2
548,No
549,no
560,SAFe
569,"No certification. Certification helps to get a new contract, but is of limited use during the project."
572,CPRE-FL
573,pmp
586,PRINCE2
590,TOGAF 7/ COBIT
634,No
637,TOGAF
640,No
649,no
663,No
676,DO NOT
683,ISO / IEC 25000
694,"PMP, SCM"
710,No
711,do not
719,do not
722,No
723,no
728,PMP. CBAP
730,computer engineering
735,Master in Computing Engineering/Science
742,No
750,Trained as an internal auditor
754,"Yes, Cettified Agile coach"
758,No
765,do not
768,no
774,No
786,No
795,No
814,No
818,no
819,IBM RUP
825,CCBA
830,"Yes, CBAP"
831,Cbap
837,CBAP
839,No
845,ECBA only
849,CSPO - Certified Scrum Product Owner
851,Ongoing Masters degree (awaiting thesis)
857,No
862,no
864,CTFL - Certified Tester Foundation Level
868,"PMP, SCRUM MASTER"
870,Uninorte and Fucapi
876,No
879,Certified Scrum Product Owner and PMP
880,IBM
884,"ICP, AGILE PO"
887,Network Engineering
889,"No, I do not."
894,No
896,pmo -CP
898,"PMI, ITIL and COBIT"
900,no
901,no
909,Certified Scrum Product Owner - Certified IBM Rational Requirements Management w / Use Cases;
910,No
912,Agile Scrum master
916,"RUP, ScrumMaster, ITIL"
918,Certified Scrum Product Owner
921,"CSPO, CSM"
923,no
924,Requirements Engineering
926,CSM
928,No
929,MBA in Project Management
930,do not
931,No
933,No
937,No
945,No
947,Microsoft Certified Professinal
952,"TOGAF, PMP"
955,"OCP 9i, ITILV3 Certified, Exa-data Certified"
956,ITIL
957,SQL MCTS and Azure MCSA
958,"PMP, CSPO"
959,No
960,yes
962,Yes
967,no
968,No
984,No
985,do not
987,No
990,Specialist in Systems Analysis
997,PMP
1008,CPRE
1010,istqb
1013,ISTQB Certified Tester
1014,No
1017,no
1028,"Yes, IPMA Certificate"
1031,do not
1033,PSM
1035,no
1039,No
1051,No
1056,Information systems engineer degree
1062,no
1064,"Yes, REQB practitioner"
1065,OMG Certified UML Professional
1066,No
1069,"Yes, Master degree of software engineering in requirements engineering"
1070,IREB foundation
1076,No
1079,PMP
1082,No
1091,PMI Extension course - UNISINOS
1097,CPRE-FL
1100,No
1101,No
1105,CTFL
1111,PMP
1114,No
1118,No
1122,No
1124,MBA
1126,No
1139,ISTQB Advanced Level Test Manager
1141,No
1159,DO NOT
1163,Programmer
1164,JAVA FUNDAMENTALS PROGRAMMING - CEC-EPN / JAVA Advanced Programming CEC-EPN
1166,DO NOT
1167,DO NOT
1168,DO NOT
1171,DO NOT
1172,DO NOT
1181,CSM
1187,Information Systems Engineer
1188,PMP
1189,do not
1190,PMP
1194,do not
1200,Bachelor's degree
1204,P Eng
1207,CSM/CPO
1220,do not
1221,DO NOT
1222,do not
1223,DO NOT
1224,DO NOT
1225,DO NOT
1226,do not
1227,DO NOT
1228,ORACLE
1229,DO NOT
1238,do not
1239,IREB
1255,CSM and CSPO
1262,"PMP, PSM I and CSM"
1266,Crea-rs
1273,PM
1279,No
1288,ISTQB Foundation level
1289,Certificatiosn for Tools and Methods
1290,ISTQB foundation level
1291,No
1296,No
1316,-
1321,do not
1327,"ISTQB Tester, Scrum Master, Project Manager (IPMA)"
1329,Oracle Certified Java Developer
1331,No
1339,DO NOT
1340,DO NOT
1341,Yes
1343,"VMWARE. ORACLE JAVA DEVELOPER Master. ANDROID developer. PHP, C ++, JavaScript"
1344,DO NOT
1348,DO NOT
1349,scrum manager
1350,DO NOT
1351,DO NOT
1352,DO NOT
