lfdn,v_281
41,"We are basing our project off of another app that we have used, but we are trying to make it better - this makes it difficult to see our innovation as the customers are used to the old apps"
48,Customers often do not specify the requirements enough for developers to understand what needs to be changed/implemented
58,business as usual; always worked this way
81,Cultural-language differences
93,history
97,Many undocumented abbreviations
106,Lack of quality time
119,customer not communicating wider system design issues
120,Lack of technical studies
126,Lack of product dev knowledge
129,Poor understanding of need
144,"each of our customers has a unique business interest, and we are consultants so every time we go into a client organization, we have to very quickly learn about their industry and domain (which takes time and can cause some delays)"
146,internal politics and big organisations with long decision paths
147,Project goal is unclear
149,"to many people in the communication line, RE engineers have no direwct access to customer"
150,Not enough time and support from the vendor to explore and document all the detailed system requirements 
160,see above
163,"Project lead tells customer one thing, does the opposite. "
165,lack of methodology for collecting requirements
167,Communication
168,The project lacks a clear goal.
170,no communication with customer
179,Do not provide enough information
182,Software required
188,The want to copy specific features from other products that can not fit in the current System Infrastructure.
199,Insufficient time spent in development and lack of proper review
203,Answer same with the above
205,silo organizataion
208,legacy software is still the king and missing knowledge about the basic facts
210,requirements are taken well
213,There is situations where customer representatives are too busy or less interested
217,poor skill
230,"As an engineer, I don't always deal with the customer and when I receive the requirements, I do not know why is the requirement even needed. Knowing a little more background always helps me create better implementation."
231,Immature organizational culture
249,Everyone comes from a different background
259,waste of time
263,complexity of project (lack of understanding the objectives and constraints)
267,Not enough communication and analysis 
268,Can't overview the stakeholders and their problems 
278,"lack of trust relationship, lack of negotiation"
283,test coverage unknown
295,Absence of sponsor
297,Project planning
304,staff turnover; consultancy culture
313,Due to time pressure some non-functional requirements end up being less well specified than the functional requirements.  E.g. a reference to an external document rather than pulling out and specifying individual relevant requirements.
330,Role taken by each stakeholder
355,new technology like BEV battery electric vehicles with a lot of challenges
359,There are businesses that operate at the discretion of workers.
364,not enough time for doing a complete RE; RE was done by the way
377,Lack of senior engagement from the customer
378,too little focus on understanding the complete picture
384,customer does not follow the goal to standardize processes around the developed software; therefore software is often changed to accommodate individual and specific business requirements and processes
387,Different goals of  project manager and test manager
393,long project span
416,"New tech, first ever done"
425,Hard to know if it is right.
427,Too little time spent in the pre-study phase for some areas
437,weaknesses when defining them; difficulty when quantifying them
444,The customer does not provide timely feedback; customer response delay.
446,frustration
453,Not wanting to disturb a customer or following a plan
461,Customer does not provide complete information
467,"both the team and the client, sometimes do not understand the importance of devoting more time to specific activities, but which make the project take a little longer for the sake of obtaining a better result"
468,It is critical that the customer is involved in the project and is willing to provide as much help as necessary.
479,Implicit knowledge; No teaching of the team members in requirements engineering
482,Frequent UI changes
485,last minute emergency affecting current developments
512,not enough education on importance of committment on all sides and contact between the two
523,Lack of an analyst and a written document from a very poor shape
