lfdn,v_277
30,We sometimes implement functions without making/changing documents.
41,We've been given a very tight deadline with no recourse if not completed by the deadline
48,Confusion with what the customer wants
58,mistrust
76,Management commitment irrespective of plan
81,Due to time constraints and distribution of customer-provider (different place)
82,It leads to the business off actually.
91,few time for elaboration
93,no uniform processes; organization in transition/new board of directors
97,No standardized processes
106,Business complexity
114,requirements with similar content on all levels
118,many diferent projects at the same time
119,not being required to trace requirements
120,Geographic ; contract
126,Lack of product dev knowledge
129,Poor initial understanding of need
137,receiving and implementing customer feedback 
141,varying degrees of domain experience; no direct access to SMEs
144,customers don't usually want to discuss non-functional requirements; customers have great difficulty defining measurements for non-functional requirements
146,"bad cooperation, no requirements engineer in the team, they think it is not needed in agile development. "
147,Project goal is unclear
149,Undersetimation of communication needs
150,Detailed requirements are documented prior to the solution being chosen / determined.
160,missing methodology knowledge; problems to abstract problems
163,misogynistic development team
165,lack of methodology for collecting requirements
167,Competence
168,"No one wants to look stupid, so people refrain from asking questions."
170,sprint too ambitious
178,incorporation of customer (should be PO) not working
179,The language used is not compatible
182,Unclear 
188,Lack of clear view by Product Owner
199,Result in an imeatiate search for short-cuts
203,They did not give the requirements engineer the conclusion they informally arrived at with the customer.
205,Influenced by  salesmen  before fully defining requirements; egos
208,legacy software was used more than 20 years without updates;they don't want to know  modern  ways of doing things
210,lack of requirements gathering
213,In our case business representatives requirements and tasks submission is delayed.
215,"stakeholders have not been asked sufficiently / from different perspectives, time pressure to compete requirements gathering"
217,poor user knowledge
230,"Due to the nature of the culture, some requirements are met (technically) yet many times the customer expected a higher degree of quality. (i.e. Taking measurements of time with minutes and seconds yet customer was expecting seconds, milliseconds,, etc). "
231,Inexperienced team members in RE
239,Requirements are not clear at the beginning
249,Every project is different
258,"need to assign budgets for too long periods (old way of thinking), rather volatile and unclear ideas of what customer wants and needs so prototypes needed to dicuss and go further"
259,Hierarchical relationship
263,Late start; weak processes; weak decission making; cultural resistance to change; complexity of project
267,"Too short time for analyzing, not enough trust full relationship with customers "
268,Time overruns 
278,lack of trust relationship
283,well developed and tested area's of the product vs weaker area's
291,"When something works, managment tries to implement that in the rest of the organisation. Resulting in shuffling of resources and priorities"
295,Absence of sponsor
297,RE is not naturally understood by all.
304,Time constraints;staff turnover
310,internal problem of the customer: many opinions and noone who can decide
313,Separate existing methods of working at the customer and in own company mean we have different terms for similar concepts.
317,Supplier too optimistic. 
330,"Lack of customer involvement who has the idea. He/She assumes that his/her needs will be so, but he/she has no time or interest to participate in meetings of definition"
332,Stakeholders already went through an entire problem solving process prior to the first moment we got involved
