lfdn,v_286
35,lack of time
41,"This will have no effect on the final product, but it may decrease customer satisfaction initially."
58,missing information
81,Mistakes between what is said and what is understood - waste of time to re-discuss issues
93,communication misunderstandings; even wrong use of functionality
106,Unclear requirements
119,over engineering solution to meet all possible interfaces
120,Delay
126,Risk for the dev
129,Missed requirements
144,increases the amount of time it takes to be knowledgeable enough to make recommendations and deliver valuable solutions
146,developers have to guess and that amounts in bad user acceptance
147,Rework
149,Discussion about the wrong what's
150,"Scope changes, flawed / incomplete solution and dissatisfied business customer"
160, bug  fixing to our costs
163,Confusion; significant and unnecessary project delays
165,"delays, budget overruns, sometimes reduction of deliverable performance (rarely)"
166,many changes
167,delays; frustration
168,Some projects get started without a clear purpose.
179,That the real needs are not discovered
182,Becomes a constraint 
188,Delays in development; Demotivation in Dev Team
199,Failures in qualification and rework.  Also causes rework of the products being backfilled.
203,I was not sure about that.
205,rework; waiting; passive-aggressive behavior
208,two many cycles before a story is ready and can go to the development
213,"Delays, incorrect requirements"
217,system that does not meet user needs
231,Potentially not conforming to stakeholder needs
249,Doing same work multiple times
259,waste of time
263,many change requests; late testing; long evelopment cycles
267,Customer dissatisfied 
268,Project lead is overworked 
278,"Insufficient requirement specification, Incorrect requirement specification"
283,test coverage unknown
297,Bugs
304,wrong implementation
313,NFRs are not tested with the same level of rigour as functional requirements.  This results in a risk of producing products with undetected reliability problems.
330,incomplete tasks
355,could be time critical
359,Lack of ability to listen to requirements from customers
364,project takes twice as long as previously planned; budget increases; everybody is annoyed
370,frustration; work not done or incomplete
377,Poor quality requirements
384,ROI for software development will not reached; development cost increase; time to market increases
387,Decisions to ship a product version are false.
393,many changes
416,some quality issues and time
425,Hard to know if it is right.
427,Risk of delays due to unforeseen extra work 
437,rework; wrong decisions
444,Delays and downtime
446,delivery impact
453,late problem detection
461,customer dissatisfaction;
467,generally it ends compromising the quality
468,Incorrect implementations that do not meet the customer needs
479,Requirements engineering teaching
482,"Less efficiency, rework , more time "
485,poor code quality
512,business value not added and time wasted trying to understand customer
523,Delays in the time of development
525,adressing wrong objects in the solution
534,Prioritizing improvements not aligned with the business
549,Can lead to something being delivered/released but not exactly as required or with little/no explanation as to why/what was done
570,making the wrong solution
573,"Frustration in project team, poor decision making and governance"
586,talking about differnt things 
626,Important requirements not contemplated
637,Wrong design.
640,partial or incomplete documentation; lack of accountability
649,bugs due to incorrect assumptions
661,Work for nothing
663,Implication to functional quality
676,the result is not the desired by the customer
694,late recognition of something that is missing ends up adding unnecessary delays
710,"risk of hidden bugs due to the difficulty of understanding the full impact of changes,difficulty of maintaining test cases"
719,Errors in the definition of functionalities
722,"Changing requirements, thus missing deadlines"
740,Dead times
754,yes
768,animosity between customer and project team
819,Rapid development but without quality
847,Wasted resource to implement these at the end/failed projects 
849,team without aim when making decision that could impact the business
851,delays in deadlines; overwork
856,rework
864,Excessive rework in requirements definition
865,Difficulty in the progress of the project
868,"client dissatisfaction, delay in the deadline, increase of the project cost, rework"
870,Product out of specification
876,"the analyst is involved in maintaining the legacy system, and the project becomes secondary"
879,Rework.
880,Difficulty in validation.
901,Faulty delivery ; rework
909,"Delays in the project, deliveries not adhering actual  business needs, high level of maintenance / rework"
910,Rework
912,"Always an issue, can cause delays, re-work, lack of goal achievement"
916,impact on changes
917,Rework
921,Impact on development
