lfdn,v_278
30,We sometimes implement extra functions in research projects.
41,"It is difficult to measure usability without lots of beta testing, which we do not have the means to do at this time"
48,Causes assumptions of what should be implemented because too vague
58,business as usual; always worked this way
76,Lack of corporate maturity in defining its vision
81,Providers solution with focus on specific customer rather than system-wide requirements
82,It effects to close on project on time. 
91,distributed locations (customer/project team)
93,lack of knowledge; general dissatisfaction
97,Project members participate while doing their daily business. 
106,Business operations
114,lack of information about writing requirements on system and sw level
119,customer unaware of design issues
120,Geographic ; contract
126,Lack of product dev knowledge
129,Business used different terms to mean the same thing
141,business practices; employee transfers; employee terminations
144,"many times a solution has been selected before we are engaged (though it may not be the best solution for the problem), and then we are constrained by this"
146,bad communication 
147,Project goal is unclear
149,"It is easyer to discuss solutions (how), instead of the needs (what)"
150,Not enough time was allocated to requirements review with the vendor and solution design 
160,they don't see the effort
163,Project lead is absent at best; only communicates once per week if that
165,lack of concerns of project stakeholders w.r.t. good project management practices
167,Leadership
168,People in this project have research backgrounds with little practical experience.
170,not enough documentation
178,given by external loosy documented system
179,There are special processes within customer needs
182,Not having a disciplined approach 
188,Lack from Product Owner to answer important questions that would clarify Requirements.
199,People who do not believe in process try to find ways around the process 
203,Answer same with the above
205,academic freedom; lack of accountability; no ROI analysis required
208,"too many customers, located distributed and doing cockfights behind the scenes."
210,He / She lacks time to complete many tasks
213,Business use different terms in process and those are different from terms used in solutions
215,"different parties involved, separated team locations"
217,lack of domain knowledge
230,"Many times, requirements are ported from previous projects and sometimes, the requirements cannot be traced to features or statement of work. Many times, it turns out the requirement is an internal quality the product should have. "
231,Inexperienced team members in RE
239,There is overall not enough time and value for requirements in the company 
249,School projects have deadline in order to get grade
258,due to time needed for discussion which needs to be payed we try to fromulate requirements deeply 
259,Requirement mismatch
263,corrupt processes; resistance to change
267,Not enough communication 
268,Too much unspecified requirements
278,"lack of trust relationship,  lack of communication capability of the project leader, lack of domain knowledge"
283,uncertainty of of what should be developed and tested - or how it should function.
291,Lack of vision
295,Changing phases of supported programme
297,Missing tools
304,staff turnover; communication  lazyness ; missing glossar
310,budget not high enough for sufficient time
313,Software developers sometimes insert a function they think is useful but which the customer does not want.  Very difficult in requirements to anticipate and specify everything that the product must NOT do.
330,"Each person on the team has a role, experience and knowledge regarding the business"
341,End customers use a non-technical terminology in another language
355,"Customer want to implement new functions, last not least it is critical because we have not enough team members"
359,There is no person exchanging appropriate information with customers.
364,bad planning; not enough money for the project (time is money); can be done by the way
365,keeping up with the industry; being competitive 
370,no deeper knowledge on the systems used
377,Competing business priorities resulting in project changes
378,customer unwilling to specify a certain expectation
384,customer expects new application to work like 25 year old legacy system; cannot adjust to different technology;
387,Complexity of requirements is too high
393,fixed timelines before requirements analysis
416,New developers/testers
420,there is very myuch focus on rules and regulations (laws) which are complicated
425,Customer does not get what he need.
427,Customer’s knowledge in this area is not good 
437,lack of applied techniques
442,the regulator; the competitive pressure has an impact in the solution's update
444,Wrong specification.
446,inefficient work and unecessary coorination efforts
453,It comes to my mind on the fly
461,"management policies, budget"
467,The client changes objectives and requirements due to the change in his/her context
468,Customer always wants everything done as soon as possible. They do not understand the technical difficulty of solving the problems.
479,Terminology
482,Dependency between many requirements 
485,The tendency in requirements specification is to think that who collects the information has the same knowledge as who writes it.
489,not enough time
506,not define requirement in detail
511,customer does not allocate enought resources (time)
512,not educated enough into the process and therefore does not understand the importance of commitment
518,Sometimes people forget to mention some requirements from the client
523,Lack of an analyst and a poorly written document
524,The specification is not performed with this characteristic in mind
525,the customer takes for granted that all function reqs are known
545,culture
549,Features often come from a range of customers/people and sometimes we don't get all the info we need or are badly communicated
570,"lack of easy accessable, common definitions"
572,traceability is siloed
573,Lack of analysis skills does not sufficiently support requirements gathering
