lfdn,v_105
167,"We consider relevant non-functional requirements, but what's relevant can change from project to project."
249,"Weak in this area, still learning"
268,Quality
291,All above (acoording to ISO 9126/25010)
317,Data conversion
332,"legal, functional safety, "
1033,"Nenhum em especial, mas qualquer um deles se destacado como especialmente importante pelo PO naquela história"
1114,Nenhum
1194,Los atributos de calidad o requerimientos no funcionales se definen independientemente de los requisitos funcionales u ordinarios.
1755,No documentation
1928,I don't do requirement documents
