lfdn,v_344
41,Proper documentation and software techniques
48,Using a tool (PTC Integrity)
76,Qualified textual requirements tagged as non functional in solution
79,Non functional requirements chapter at the end of each concerned story
84,by decomposing of functionalities of the new system onto modules with appropriate scope and features
106,non-quantified textual requirement
120,using non-quantified textual requirements
126,Analysis
144, using quantified textual requirements
147,textual
150, using non-quantified textual requirements
162,diagrams
165,using semi-quantified textual requirements ( shall-statements )
170,document
182,Specific guidelines standard or practice
183,Textual
197,Plain text
199,Mil style Maintainalility Guidelines.
203,"modifiability, reusability, testability"
205,Review state of the art and best practices
208,non-quantified textual
213,As a textual requirements in document or a system Jira.
278,using non-quantified textual requirements
291, using quantified textual requirements
292,"Test coverage and Service guides, xFMEA to a certian extent"
310,quantified textual requirements
317,(The same)
332,textual
334,Diagrams and quantified textual requirements
349,textual requirements
377,Textual requirements with supporting tables of numeric standards.
384,quantified textual requirements
393,documentation in future components as early as possible
416,using non-quantified textual requirements
420,having maps of how systems and part of systems interact
427,Quantified textual requirements
446,non-quantified textual requirements
479,natural language (sentence patterns)
502,Quantified textual requirements
506,"using quantified textual requirements, diagrams, following any specific guideline, standard or practice."
511,using non-quantified textual requirements
524,non-quantified textual requirements and diagrams
525,using internal guide lines
545,answered in question above
560,Textual & diagrams 
569,Text
570,"Diagrams, quantified and non-quantified textual requirements"
586,"Guideline, policy and practise"
626,Quality scenarios
637,non-quantified textual requirements
663,Natural Language / Informal Text
719,textual requirements
728,textual requirements
750,Textual requirements and diagrams
754,Checklists
758,Code analysis reports for cohesion and coupling
785,following some guideline
786,The new diagrams are added to the old architecture and dated before implementation.
839,Must be able to be maintained by BAU team post hand-over
851,Architectural documents
876,through the functional requirements and models of the system architecture
909,unmeasurable textual requirements
912,Usually a questionnaire for the developers and tends to be subjective
916,not measurable
928,"Using measurable textual requirements, test cases and prototyping of interfaces."
929,any documentation with textual description of the requirement vision document.
952,before transformation
985,quantified textual requirements
987,Natural Language
1008,Text
1021,"the system should be open, possibility of system extension"
1055,quality attribute scenario
1066,quantified text requirements as much as possible
1091,Diagrams and texts
1100,natural language
1122,Modularity and standardization
1140,"modifiability, analysability"
1141,using quantified textual requirements
1159,MODULARITY
1161,"Each development must be sufficiently independent, so it can be installed in any country of the subsidiaries."
1164,PROTOTYPING
1165,DEVELOPMENT POLICIES AGREED WITH THE team
1266,"System Block, subdivided by section"
1279,Textual requirements
1283,"Non-quantified textual requirements, guidelines and standards"
1290, Specifications
1291,using non-quantified textual requirements
1321,Explicit
1327,"Architdecture document, system specification "
1329,text
1331,textual descriptions
1340,PERFORMING quick maintenance
1344,it allows for a quick maintenance
1349,Established in the contract
1350,ALLOWING FOR CHANGES AND UPDATES
1353,MODULES SUGGESTED FOR THE SOLUTION - COMPONENT DIAGRAM
1355,ABLE TO MAKE CHANGES
1357,USER MANUALS
1402,Team reviews
1406,By modularization
1413,NATURAL LANGUAGE
1423,VALIDATION CAPACITY
1424,modularity
1426,"specific guidelines, quantified requirements (e.g. comments, max. lines per module)"
1441,non-quantified textual requirements
1454,"Due to the constant growth, one of our principles is tha maintainability of the software"
1462,CONTRACT
1466,User story/incident/backlog tracking tool
1467,Textual
1621,Text
1624,maintainability is not something that needs documentation it should be in the code we write
1667,Analysis and ease of reuse
1676,"we document all these requirements on Confluence, on a page or space specific to what we're building."
1690,"Modifiability, reusability"
1695,"Analytical skills, reusability"
1697,Using quantified textual requirements
1717,USER MANUAL
1718,non-quantified textual requirements
1742,quantified textual requirements
1759,non-quantified textual requirements
1804,Guidelines
1820,Text
1831,tests and measurable textual requirements
1840,non-quantified textual requirements
1844,Support Facility
1859,diagrams
