lfdn,v_282
35,extremly small team for a World wide project
41,The project will probably only be about 90% done by the deadline
58,missing information
76,Adding resources; stressed team
81,Requirements cannot be validated with good quality
91,"time, cost"
93,stand still in production; building and rebuilding of functionality which is only sparely used
106,Prioritychange; Sometimes requirements too
119,dont know if a requirement is implemented; dont know if implementation meets any requirements
120,Delay
126,Risk for the dev
129,Lots of clarifications needed
141,requirements working sessions go off on tangents
144,"missed non-functional requirements can cause critical problems and/or system failure; while the system may function as specified, if it does not have quality, it will still be deemed a failure"
146,system out of control and difficult to manage
147,Rework
149,inefficient
150,Flawed / incomplete solution and dissatisfied business customer
160,customers often design the solution and then its hard to discuss another possibility
163,Misunderstood or misinterpreted requirements; significant project delays;
165,"delays, budget overruns, sometimes reduction of deliverable performance (rarely)"
166,frustration on both sides
167,unhappy customer; building the wrong product
168,Team member ego can present an issue.
178,requirements prepared pretty late
179,poorly understood requirements
182,Whether the product is complete?
188,Delays in development; Demotivation in Dev Team
199,Rush to writing code
203,I was not sure about that.
205,waste BAs time; make irrational decisions
208,conflicting with NFRs;usability  wars  between stakeholders of different IT-affinities
213,"More mistakes in solutions, tight work and overtime. More rework after the first version of the solution."
215,unsatisfied customers
217,development of unusable system
231,Potentially not conforming to stakeholder needs
239,Time and effort spent in unneeded features
249,Wrong design
258,uncomfortabel feeling on all sides - will we get where we want to be with this budget?; am I going to be held responsible for something I said on an uprecise set of requirements
259,Hierarchical relationship
263,incomplete testing before go-live; high workload; reducing of scope
267,"More time and money needed, or smaller scope than firstly planned "
268,Less time
278,Insufficient support by customer
283,well developed and tested area's of the product vs weaker area's
291,Creating waste and bad team spirit
297,Wrong requirements
304,phase too long for requirements
310,double workload
313,My role involves me acting as a translator between different groups of people.  I have to keep in mind the terminological differences and be ready 
317,Integration with other systems was hard; communication with the subcontractors caused problems; the POC was too superficial  
330,"Delays, loss of trust with the customer, incomplete tasks"
332,"the Req Engineers need to challange the stakeholders, that requires a strong character of the RE"
341,Adapting to new needs
355,not reaching the milestone
359,Inadequate estimate
364,project takes twice as long as previously planned; budget increases; everybody is annoyed
365,project may not be considered a success if features keep getting added to the backlog but the deadline does not change
370,redo of development; customer not satisfied and creation of frustration
372,The system can only partially achieve its business goals
377,Lack of clarity for requirements
384,increase system complexity; incresed development cost
