lfdn,v_284
35,lack of experience in software develoment; lack of experience in digital companies (4.0)
41,This simply makes the process of creating the software harder. It is overcome via proper communication.
58,no information flow
76,Education process in place; reiteration of focus
81,Customer-providers relationship
91,unclear requirements
93,time-consuming in elicitation and explanation; unnecessary changes/work
106,Schedule overrun
119,missing features
120,Risk of overconstraining design
126,Risk for the dev
129,Missed requirements
141,discover issues only during User Acceptance Testing
144,this may cause us to be unable to deliver the desired solution; may cause significant delays in delivering something; may have to provide a different solution if the initially desired one is not possible
146,Spend to much time on the wrong things
147,Rework
149,inefficient
150,Delays in schedule and scope changes
160,incomplete or wring details
163,lots of rework to clarify what previous business analyst did resulting in significant project delays and not delivering an acceptable product to customer
165,"delays, budget overruns, sometimes reduction of deliverable performance (rarely)"
166,disorganization
167,mediocre solution
168,People often underestimate how much time a task requires.
179,hidden requirements
182,Difficulty in completing bathe project 
188,Delays in development; Demotivation in Dev Team
199,Support for skipped development steps.  Backfilling later.
203,I was not sure about that.
205,no one notices or cares
208,overrunning budget; losing stakeholders acceptance
213,Incorrect requirements. 
215,"unsatisfied customers, delayed acceptance of solution"
217,unclear requirements
231,Potentially not conforming to stakeholder needs
239,Time and effort spent in unneeded features
249,Doing same work multiple times
259,misunderstand
263,many change requests; late testing; long evelopment cycles
267,Lossless in information 
268,Too much projects for one stakeholder
278,Lack of understanding between project members
283,hard to carry our precise performance testing
291,Not sure that we are doing the right things
297,Bad quality and reliability
304,missing acceptance criteria; difficult starting point
310,downtimes
313,Developers do not have a big picture overview of the whole project and end up focusing on one sprint at a time.  This means features are sometimes implemented which are later found to be incompatible with a new feature. 
330,"management of expectations, delays, costs"
355,time critical 
359,Lack of personnel with domain knowledge
364,project takes twice as long as previously planned; budget increases; everybody is annoyed
370,redo of development
377,Perception from customer that delivery is not on track or not enough is being delivered
384,increased time for clarification resulting in delay of delivery of new features; delay in documenting requirements thereby increasing the risk of deviations between sofwatre and requirements
387,Increase of effort in testing;bad motivation of test team.
393,less resources for real business value
