lfdn,v_194
30,Nothing
35, 
76,No
93,General dissatisfaction in customers because the system is not the same as the old one.
119,politics getting in the way of engineering
129,None
144,"Lack of support from management to use agile processes. While management says that they understand it and are in agreement, in practice they still hold onto the traditional ways of thinking, and expect the outcomes of agile but with waterfall practices. Also, some regulated industries insert an extra layer of requirements that serve a purpose, but are also very constraining."
146,Requriments engineering have a bad rep in agile development. It is seen as constricting.  lets just start and see how we do  seems to be the best practice in scrum.
147,Ownership of project and project goal on business side is missing.
150,Incompetent vendor project team
160,missing willingness to understand the customers needs by project people. Sometimes they behave like a proxy between customer and developer.
163,"There is no common vision on the project, no concern about delivering a product that actually meets the customer needs and is maintainable."
165,RE approaches/methodologies are too often focussed/designed for software engineering practices and not sufficiently suited for systems engineering (or plant engineering). SW engineers insist in promoting a methodology that is not well necessarily well suited for complex systems and subject matter experts are often annoyed by implementing a methodology they don't understand.
167,"This project runs exceptionally well. Therefore, we do not experience the problems cited. The survey forced me to pick some. So I picked those that pose the biggest risk to projects that are not as well run as this one."
170,no
178,Scrum master not really enforcing Scrum process and not living agile principles  software architect not being team ready
179,Do not
182,Team capacity to complete the work 
183,We are ongoing a transformation phase so difficult to cope with all mandates
199,A personal axiom:  A shortcut in a decent process will result in twice (or more) additional costs to the project and associated schedule delays. 
203,Without a replacement or a suitable replacement for an engineer who left the project.
205,Organization does not respect role of PM or BA as leaders
208,"changing resources (they cannot focus in our project, due they have to do other line management tasks); poor availability of stakeholders;"
213,"I fixed that we do use to much different tools for RE and it can take to much resources for RE activities. In many cases we have specific big tools for specific RE activities and goals, but how much time we spent on use of those tools. Does those tools support possibility to access to requirements to all involved persons, how easy those requirements we can export and import in situation when we change tools. Does the cost of tool, spent time on them and the result is in balance?   And during the project we do forget about the future - do we will have complete requirements and related information?  After the 6 month or more we do not remember what was in the solutions and how looks the last version of those requirements. We usually forgot to update requirements and do only partial documentation of requirements and changes. And in the result we have problems to find out what is the actual version and if we want to make changes in solutions we need to spent lot of time of existing solutions investigation. Of course we do not need to create big heavy documentation. We can use tool for requirements documentation and more, for example, for documented communication, requirements distribution etc."
249,Learning on the fly
259,No.
263,Lack of resources with given time frame
268,Bad stakeholder analyze 
310,internal conflicts at the customer because of different priorities
317,"This was a COTS-based acquisition. To deploy the most important parts on time, we accepted and paid an  almost  complete delivery, assuming the rest was just maintenance. However, the Financial incentive disappeared and the rest went very slowly."
330, high-level Monitoring meetings of steering commitee where attending directors / managers who do not have daily visibility of the project and compromise dates and scope without the opinion of the rest of the team
332,"Replacement of some of the stakeholders during the project, resulting in loss of knowledge, affecting the scope of the project because of new insights. We fixed that by working closely with product management and the application engineers to reduce the level of impact on the project."
355,it is always the magical three points: Time - Cost - Requirements    All Projects must be cheap as possible in the shortest time with millions of requirements and use cases!
359,"Disturbance by customer side development department.  They are due to the presence significance of their own,  interfere with us."
