lfdn;v_248;v_283;tag
91;Communication flaws between the project and the customer;unclear requirements;Project or Organization:Increased difficulty of requirements elicitation
208;Communication flaws between the project and the customer;One-Liner requirements with time pressure and unclear assumptions;Project or Organization:Increased difficulty of requirements elicitation
258;Communication flaws between the project and the customer;"more and more writing of specifications; long documentation cycles in which we try to specify things but when we're finished the basics already changed so we need to adapt again";Project or Organization:Poor documentation of requirements
259;Communication flaws between the project and the customer;Requirement mismatch;Project or Organization:Increased difficulty of requirements elicitation
278;Communication flaws between the project and the customer;Insufficient support by customer;Project or Organization:Effort overrun
511;Communication flaws between the project and the customer;Inconsistant requirements;Project or Organization:Increased difficulty of requirements elicitation
525;Communication flaws between the project and the customer;Builiding the wrong functions;Product:Missing functionality of product
539;Communication flaws between the project and the customer;problems when carrying out requirements testing;Verification or Validation:Decreased test efficiency
586;Communication flaws between the project and the customer;Not having the same picture of what to be delivered or how;Product:Inefficient development
676;Communication flaws between the project and the customer;deadlines are delayed;Project or Organization:Time overrun
849;Communication flaws between the project and the customer;team with less engagement with customer success;Project or Organization:Overall demotivation
870;Communication flaws between the project and the customer;Product out of specification;Product:Poor product quality 
876;Communication flaws between the project and the customer;the customer does not follow the development;Project or Organization:Weak knowledge transfer
933;Communication flaws between the project and the customer;final product insufficient and unsatisfactory.;Product:Poor product quality 
956;Communication flaws between the project and the customer;NP;
1006;Communication flaws between the project and the customer;Delay in delivery of the product;Project or Organization:Time overrun
1033;Communication flaws between the project and the customer;Rework, waste and frictions are inevitable;Project or Organization:Effort overrun
1076;Communication flaws between the project and the customer;Delay in decision-making and requirements approval ;Project or Organization:Time overrun
1082;Communication flaws between the project and the customer;Involves requirements at medium or low depth;Product:Poor requirements quality (general)
1100;Communication flaws between the project and the customer;Rework;Project or Organization:Effort overrun
1187;Communication flaws between the project and the customer;misunderstandings;Project or Organization:Increased difficulty of requirements elicitation
1189;Communication flaws between the project and the customer;Iteration in elicitation;Project or Organization:Increased difficulty of requirements elicitation
1354;Communication flaws between the project and the customer;DEMOTIVATION;Project or Organization:Overall demotivation
1419;Communication flaws between the project and the customer;INCOMPLETE INFORMATION;Product:Poor requirements quality (general)
1441;Communication flaws between the project and the customer;Late changes;Project or Organization:Increased number of change requests
1457;Communication flaws between the project and the customer;USERS dissatisfaction;Product:Decreased user acceptance
1459;Communication flaws between the project and the customer;Customer dissatisfaction;Product:Decreased user acceptance
1526;Communication flaws between the project and the customer;Rework;Project or Organization:Effort overrun
1617;Communication flaws between the project and the customer;Missing expectations, software that is not needed;Product:Decreased user acceptance
1650;Communication flaws between the project and the customer;"Time; wrong thing built";Product:Decreased user acceptance
1805;Communication flaws between the project and the customer;estimates are wrong;Project or Organization:Difficulties in project management
1844;Communication flaws between the project and the customer;not always all problems are prevented;Project or Organization:Difficulties in project management
1961;Communication flaws between the project and the customer;"lack of direction;no long term vision";Project or Organization:Difficulties in project management
215;Communication flaws within the project team;unsatisfied team members, blaming and finger-pointing;Project or Organization:Effort overrun
330;Communication flaws within the project team;delays, tension in the team, incomplete tasks;Project or Organization:Difficulties in project management
446;Communication flaws within the project team;delivery impact;Project or Organization:Difficulties in project management
479;Communication flaws within the project team;Communication Rules;Project or Organization:Increased communication
489;Communication flaws within the project team;bad customer acceptance;Product:Decreased user acceptance
518;Communication flaws within the project team;The work has to be rushed;Project or Organization:Inefficient development
573;Communication flaws within the project team;Projects not fully meeting business reqauirements, waste of funding;Project or Organization:Inefficient development
786;Communication flaws within the project team;Modules do not work together.;Project or Organization:Inefficient development
924;Communication flaws within the project team;rework;Project or Organization:Effort overrun
985;Communication flaws within the project team;rework;Project or Organization:Effort overrun
1039;Communication flaws within the project team;Sprints with unnecessary or activities implemented in the wrong way;Project or Organization:Effort overrun
1066;Communication flaws within the project team;chaos on the project, schedule delays, cost overrun;Project or Organization:Difficulties in project management
1229;Communication flaws within the project team;The speed with which the work is performed is decreased, there may be effort duplication;Project or Organization:Effort overrun
1238;Communication flaws within the project team;the same mistakes committed many times;Project or Organization:Effort overrun
1239;Communication flaws within the project team;lost time due to rework;Project or Organization:Effort overrun
1341;Communication flaws within the project team;LACK OF TRAINING;Project or Organization:Effort overrun
1343;Communication flaws within the project team;FAILURE IN THE PRODUCT implementation;Project or Organization:Inefficient development
1350;Communication flaws within the project team;ERRORS IN PROGRAMMING AND SOFTWARE COMPOSITION;Project or Organization:Inefficient development
1413;Communication flaws within the project team;Miscommunication;Project or Organization:Increased difficulty of requirements elicitation
1454;Communication flaws within the project team;LACK OF trust BY CUSTOMER;Product:Decreased user acceptance
1482;Communication flaws within the project team;PROBLEMS IN code DEVELOPMENT AND INTERFACES;Project or Organization:Inefficient development
1483;Communication flaws within the project team;REFUSAL TO presented IDEAS / SOLUTIONS;Project or Organization:Project scope becomes unclear
1484;Communication flaws within the project team;CONFUSing and UNCLEAR REQUIREMENTS;Project or Organization:Increased difficulty of requirements elicitation
1485;Communication flaws within the project team;NO PORTABILITY;Project or Organization:Difficulties in project management
1663;Communication flaws within the project team;time lost re-explaining how things should work;Project or Organization:Difficulties in project management
1669;Communication flaws within the project team;DOCUMENTATION problems;Project or Organization:Poor documentation of requirements
1742;Communication flaws within the project team;lack of right information to work with which resultis in not doing what you should;Verification or Validation:Validation of requirements becomes difficult
1756;Communication flaws within the project team;Usually caught on internal team demos, so impact is restricted to potential delays and additional costs;Project or Organization:Difficulties in project management
1969;Communication flaws within the project team;Lots of wasted time.;Project or Organization:Time overrun
199;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Willingness to jump into code;Verification or Validation:Validation of requirements becomes difficult
263;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;"many change requests; late testing; long development cycles";Project or Organization:Difficulties in project management
425;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Customer does not get what he need.;Product:Decreased user acceptance
1347;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;limited innovation;Product:Decreased business value
1455;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;SOFTWARE FAILURES;Project or Organization:Inefficient development
1676;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;lots of history to clean up / fix later;Project or Organization:Difficulties in project management
81;Gold plating (implementation of features without corresponding requirements);Waste of resources;Project or Organization:Difficulties in project management
313;Gold plating (implementation of features without corresponding requirements);Undesirable behaviour sometimes evades detection until a late stage, since there was no explicit requirement there is no related test case.  Causes unnecessary churn as features have to be taken out later.;Design and Implementation:Missing traceability
916;Gold plating (implementation of features without corresponding requirements);delivery features that do not add value;Product:Decreased business value
1163;Gold plating (implementation of features without corresponding requirements);Losing time;Project or Organization:Difficulties in project management
1327;Gold plating (implementation of features without corresponding requirements);Cost driver.;Project or Organization:Difficulties in project management
1344;Gold plating (implementation of features without corresponding requirements);poorly performed PROCESSES PERFORMED MAL;Design and Implementation:Missing traceability
1356;Gold plating (implementation of features without corresponding requirements);SOFTWARE not working;Product:Increased number of failures / bugs
1424;Gold plating (implementation of features without corresponding requirements);Lack of support;Project or Organization:Increased difficulty of requirements elicitation
1433;Gold plating (implementation of features without corresponding requirements);unnecessary code created;Design and Implementation:Missing traceability
1467;Gold plating (implementation of features without corresponding requirements);took too long to complete project;Project or Organization:Time overrun
1759;Gold plating (implementation of features without corresponding requirements);missing documentation;Project or Organization:Poor documentation of requirements
119;Incomplete or hidden requirements;missing features;Project or Organization:Increased difficulty of requirements elicitation
146;Incomplete or hidden requirements;Problems with nailing it, getting the job done and satisfying the customer;Customer:Increased difficulty of requirements elicitation
147;Incomplete or hidden requirements;Rework;Project or Organization:Effort overrun
166;Incomplete or hidden requirements;too many changes;Project or Organization:Increased number of requirements changes
178;Incomplete or hidden requirements;trial and error;Project or Organization:Increased number of failures / bugs
188;Incomplete or hidden requirements;"Delays in development; Demotivation in Dev Team";Project or Organization:Time overrun
437;Incomplete or hidden requirements;rework;Project or Organization:Effort overrun
444;Incomplete or hidden requirements;They are detected in testing;Verification or Validation:Delayed detection of missing functions 
485;Incomplete or hidden requirements;developments that do not capture what the customer wants;Project or Organization:Increased difficulty of requirements elicitation
640;Incomplete or hidden requirements;"Increased costs; poorly documented changes";Project or Organization:Difficulties in project management
719;Incomplete or hidden requirements;Errors in the definition of the functionalities;Project or Organization:Delayed detection of missing functions 
729;Incomplete or hidden requirements;New elicitation of some requirements that what should be a validation stage, upgrade plans;Project or Organization:Increased difficulty of requirements elicitation
754;Incomplete or hidden requirements;no;
900;Incomplete or hidden requirements;customer dissatisfaction;Customer:Customer dissatisfaction
917;Incomplete or hidden requirements;Rework;Project or Organization:Effort overrun
921;Incomplete or hidden requirements;Impact on development;Project or Organization:Inefficient development
930;Incomplete or hidden requirements;Requires further adjustments;Project or Organization:Increased number of change requests
958;Incomplete or hidden requirements;Deadline for service Legas demands are compromised;Project or Organization:Time overrun
1011;Incomplete or hidden requirements;"delayed completion of project; dissatisfaction in production/live stage";Project or Organization:Difficulties in project management
1021;Incomplete or hidden requirements;"structural and functional errors; inconsistent product delivery";Project or Organization:Inefficient development
1124;Incomplete or hidden requirements;non-integrated processes that generate rework.;Project or Organization:Increased difficulty of requirements elicitation
1159;Incomplete or hidden requirements;INCOMPLETE IMPLEMENTATIONS;Product:Implementation of irrelevant requirements 
1168;Incomplete or hidden requirements;LAST MINUTE PROJECT MODIFICATIONS ;Project or Organization:Increased number of change requests
