;lfdn;v_250;v_284;tag
0;106;Communication flaws between the project and the customer;Schedule overrun;Decreased efficiency (overall)
1;150;Communication flaws between the project and the customer;Delays in schedule and scope changes;Decreased efficiency (overall)
2;188;Communication flaws between the project and the customer;"Delays in development; Demotivation in Dev Team";Decreased efficiency (overall)
3;267;Communication flaws between the project and the customer;Lossless in information ;Information gets lost
4;518;Communication flaws between the project and the customer;The work has to be rushed;Poor (system) design quality
5;640;Communication flaws between the project and the customer;"confusion; reduction in client trust";Misunderstanding (overall)
6;742;Communication flaws between the project and the customer;Potential for conflict if not handled carefully ;Conflicts within the team
7;945;Communication flaws between the project and the customer;software delivery with features that do not meet the goal, characterization of development team with inability to perform their work;Customer dissatisfaction
8;1114;Communication flaws between the project and the customer;Rework;Effort overrun
9;1126;Communication flaws between the project and the customer;"Product delivered without the necessary or different from the expected quality; Unsatisfied customer; Increased project development costs;";Customer dissatisfaction
10;1229;Communication flaws between the project and the customer;a different product from what the customer requires is developed;Customer dissatisfaction
11;1542;Communication flaws between the project and the customer;A bad image of the IT Team, perceived often as too slow, not performant, or a blocker, or incompetent, etc;Need for support by a more experienced developer
12;1663;Communication flaws between the project and the customer;time lost explaining the original intention to the customer;Decreased efficiency (overall)
13;1675;Communication flaws between the project and the customer;Incorrectly implemented features;Customer dissatisfaction
14;1896;Communication flaws between the project and the customer;Customer feedback is sometimes dismissed;Customer dissatisfaction
15;35;Communication flaws within the project team;"lack of experience in software develoment; lack of experience in digital companies (4.0)";Need for support by a more experienced developer
16;58;Communication flaws within the project team;no information flow;Information gets lost
17;249;Communication flaws within the project team;Doing same work multiple times;Decreased efficiency (overall)
18;278;Communication flaws within the project team;Lack of understanding between project members;Conflicts within the team
19;467;Communication flaws within the project team;"re work; double work; misunderstandings";Decreased efficiency (overall)
20;482;Communication flaws within the project team;Less efficiency and productivity ;Decreased efficiency (overall)
21;570;Communication flaws within the project team;wasted time;Decreased efficiency (overall)
22;586;Communication flaws within the project team;poblems in deploys;Customer dissatisfaction
23;694;Communication flaws within the project team;"overall project delays ; some times even conflict between team members";Decreased efficiency (overall)
24;868;Communication flaws within the project team;rework;Effort overrun
25;929;Communication flaws within the project team;Errors in the treatment of identified needs;Customer dissatisfaction
26;1014;Communication flaws within the project team;less communication;Poor communication
27;1033;Communication flaws within the project team;The lack of internal synergies to the team generates a sense of hard work and little income or lack of recognition of the customer;Overall demotivation
28;1064;Communication flaws within the project team;Project delays;Decreased efficiency (overall)
29;1291;Communication flaws within the project team;Danger of defects because of misunderstandings;Poor product quality
30;1339;Communication flaws within the project team;difficult COORDINATION AND FRUSTRATED or unproductive meetings;Difficulties in project management
31;1354;Communication flaws within the project team;LOSS OF KNOWLEDGE OF the PROJECT OBJECTIVE;Information gets lost
32;1411;Communication flaws within the project team;inefficient collaboration;Difficulties in project management
33;1820;Communication flaws within the project team;Extra hours;Effort overrun
34;1965;Communication flaws within the project team;extra effort;Effort overrun
35;147;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Rework;Effort overrun
36;165;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;delays, budget overruns, sometimes reduction of deliverable performance (rarely);Decreased efficiency (overall)
37;208;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;"overrunning budget; losing stakeholders acceptance";Decreased efficiency (overall)
38;313;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Developers do not have a big picture overview of the whole project and end up focusing on one sprint at a time.  This means features are sometimes implemented which are later found to be incompatible with a new feature. ;Inefficient development
39;442;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;delay in decision making;Inefficient development
40;649;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;poor moral in team;Overall demotivation
41;984;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Lack of innovative product features;Lack of innovation
42;1080;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;inefficient solutions and that are not used.;Customer dissatisfaction
43;1161;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;AUTOMATED PROCESS IDEALIZATION;Misunderstanding (overall)
44;1296;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Creates hard to achieve goals;Decreased efficiency (overall)
45;1353;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;DIFFICULT TO DELIVER PROJECTS;Decreased efficiency (overall)
46;1763;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Poorly documented features, that are missing tests;Poor product quality
47;1963;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;x;NotCodable
48;393;Gold plating (implementation of features without corresponding requirements);less resources for real business value;Missing functionality of product
49;1031;Gold plating (implementation of features without corresponding requirements);if not defined, no testable, so they may contain errors;Poor product quality
50;1171;Gold plating (implementation of features without corresponding requirements);Increased development errors;Poor product quality
51;1207;Gold plating (implementation of features without corresponding requirements);functionality implemented does not meet the expectations;Customer dissatisfaction
