lfdn;v_248;v_278;tag
91;Communication flaws between the project and the customer;distributed locations (customer/project team);Organization:Too high team distribution
208;Communication flaws between the project and the customer;too many customers, located distributed and doing cockfights behind the scenes.;Input: Conflict of interests at customer side
258;Communication flaws between the project and the customer;due to time needed for discussion which needs to be payed we try to fromulate requirements deeply ;Method: Lack of time
259;Communication flaws between the project and the customer;Requirement mismatch;Method:Poor requirements elicitation techniques
278;Communication flaws between the project and the customer;lack of trust relationship,  lack of communication capability of the project leader, lack of domain knowledge;Organization: Insufficient collaboration in process
511;Communication flaws between the project and the customer;customer does not allocate enought resources (time);Input:Lack of time
525;Communication flaws between the project and the customer;the customer takes for granted that all function reqs are known;Input:High quality expectation of customer
545;Communication flaws between the project and the customer;culture;Organization:Lack of discipline
586;Communication flaws between the project and the customer;not having all attending meetings, missing out on communication in different ways to different audinces;Organization:Communication flaws between team and customer
676;Communication flaws between the project and the customer;Follow-up minutes are not made;Method:Lack of requirements management
849;Communication flaws between the project and the customer;Hostile Customer - high-ranking security officer;Input: Conflict of interests at customer side
870;Communication flaws between the project and the customer;unprepared Business Analyst ;People:Stakeholders lack business vision and understanding
876;Communication flaws between the project and the customer;the customer takes long to track project;Input:Lack of time
933;Communication flaws between the project and the customer;Customer does not know exactly what he wants.;Input:Customer does not know what he wants
956;Communication flaws between the project and the customer;NP;NotCodable
1006;Communication flaws between the project and the customer;The customer does not detail what he really wants;Input:Customer does not know what he wants
1033;Communication flaws between the project and the customer;Agile is about collectiveness, the team must use the proper techniques to establish this communication and the client must have representatives with time for it;Organization:Lack of communication channels
1076;Communication flaws between the project and the customer;Both parties making decisions;Method:Lack of requirements management
1082;Communication flaws between the project and the customer;It is not always possible to have a close and continuous contact with customer needs;Method:Not following the communication plan
1100;Communication flaws between the project and the customer;Difficult to engage the customer in the project;Input:Missing customer involvement
1187;Communication flaws between the project and the customer;There are too many heterogeneous customers;Input:Unclear roles and responsonsibilities at customer side
1189;Communication flaws between the project and the customer;"Lack of a ""common dictionary""";Method:Unclear terminology
1262;Communication flaws between the project and the customer;Lack of Project Communication plan;Method:Lack of requirements management
1354;Communication flaws between the project and the customer;Poor communication;Method:Lack of requirements management
1419;Communication flaws between the project and the customer;Terminological problems;Method:Unclear terminology
1441;Communication flaws between the project and the customer;too much workload;Method:High workload
1457;Communication flaws between the project and the customer;Lack of customer knowledge in the solution;Input:Missing technical knowledge
1459;Communication flaws between the project and the customer;Lack of communication between the project and the customer;Organization:Communication flaws between team and customer
1526;Communication flaws between the project and the customer;Weak domain knowledge;Organization:Missing domain knowledge
1617;Communication flaws between the project and the customer;Project sponsor and project requestor have different demands and are overloaded ;Organization:Conflict of interests at management level
1650;Communication flaws between the project and the customer;The interface between them;Method:Not following the communication plan
1805;Communication flaws between the project and the customer;Customer not used to formalize requirements;Method:Lack of requirements management
1844;Communication flaws between the project and the customer;Little customer availability;Input:Lack of time
1961;Communication flaws between the project and the customer;lack of communication;Organization:Communication flaws between team and customer
82;Communication flaws within the project team;It effects to close on project on time. ;Method:Lack of requirements management
114;Communication flaws within the project team;lack of information about writing requirements on system and sw level;Method:Missing requirements specification template
215;Communication flaws within the project team;different parties involved, separated team locations;Organization:Too high team distribution
330;Communication flaws within the project team;Each person on the team has a role, experience and knowledge regarding the business;Organization:Weak qualification of RE team members
446;Communication flaws within the project team;inefficient work and unecessary coorination efforts;Method:Lack of requirements management
479;Communication flaws within the project team;Terminology;Method:Unclear terminology
489;Communication flaws within the project team;not enough time;People:Lack of time
518;Communication flaws within the project team;Sometimes people forget to mention some requirements from the client;Method:Not following the communication plan
573;Communication flaws within the project team;Lack of analysis skills does not sufficiently support requirements gathering;Organization:Weak qualification of RE team members
786;Communication flaws within the project team;Difficult to work as a team.;People:Lack of teamwork skills
924;Communication flaws within the project team;"team concern; team organization";People:Lack of teamwork skills
985;Communication flaws within the project team;First time working together;People:Lack of teamwork skills
1039;Communication flaws within the project team;misunderstanding due to the problem domain;Organization:Conflicting stakeholder viewpoints
1066;Communication flaws within the project team;concurrent engineering of implementation in parallel with requirements development;Method:Lack of requirements management
1229;Communication flaws within the project team;The team does not generate communication's dynamics;Method:Not following the communication plan
1238;Communication flaws within the project team;Different autonomous teams that do not share learnings;Method:Not following the communication plan
1239;Communication flaws within the project team;time pressure;People:Lack of time
1288;Communication flaws within the project team;information comes to late;Method:Lack of requirements management
1341;Communication flaws within the project team;The customer has another career;Input:Missing customer involvement
1343;Communication flaws within the project team;Miscommunication between team leader and customer;Organization:Communication flaws between team and customer
1350;Communication flaws within the project team;Bad relationship between team members;People:Conflict of interests at management level
1413;Communication flaws within the project team;Customer has another profession;Input:Missing customer involvement
1449;Communication flaws within the project team;"misunderstanding; timing problem";Method:Lack of requirements management
1454;Communication flaws within the project team;Poor relationship between client and project leader;Organizations:Conflicting stakeholder viewpoints
1482;Communication flaws within the project team;Bad relationship between project members;People:Conflict of interests at management level
1483;Communication flaws within the project team;Fear of losing status / position;People:Conflict of interests at management level
1484;Communication flaws within the project team;Problems caused by unknown application terms;Method:Unclear terminology
1485;Communication flaws within the project team;Weak access over the application domain;Method:Missing access to business needs
