lfdn;v_250;v_279;tag
106;Communication flaws between the project and the customer;Lack of quality time;
150;Communication flaws between the project and the customer;Communication styles and misinterpretations;
188;Communication flaws between the project and the customer;The Product Owner have zero Technical Knowledge and does not understand important decisions that need to be taken.;
267;Communication flaws between the project and the customer;Not enough time;
518;Communication flaws between the project and the customer;The client is usually lazy and sends the information of what they want a couple of days before the deadlines;
640;Communication flaws between the project and the customer;"Conflicting priorities internally and deployment of changes that impact the project and vice versa; poor customer relations";
742;Communication flaws between the project and the customer;working silos;
945;Communication flaws between the project and the customer;Low formalization in the communication about requirements;
1114;Communication flaws between the project and the customer;Customer not interested in participating in the project.;
1126;Communication flaws between the project and the customer;Lack of definition of a formal and regular communication model between those involved in the project;
1229;Communication flaws between the project and the customer;There are no periodic meetings to show the client the real progress, listen to their concerns and show the difficulties that could exist in the advance;
1340;Communication flaws between the project and the customer;Inefficient organization;
1542;Communication flaws between the project and the customer;I refer to customer as internal stakeholders: they have different ideas of what the system should and how, without really finding the need behind, also without considering that it is only 1 development team for at least 4 business units;
1618;Communication flaws between the project and the customer;This results in not always delivering the feature or product that adresses the biggest need for the most customers.;
1663;Communication flaws between the project and the customer;tries to save face/ Yes  answer to please the customer;
1675;Communication flaws between the project and the customer;Overloaded customer liaison ;
1896;Communication flaws between the project and the customer;Customer is mostly non tech-savvy;
58;Communication flaws within the project team;mistrust;
249;Communication flaws within the project team;"Lots of egos; Each member comes from a different background";
278;Communication flaws within the project team;lack of leadership capability;
467;Communication flaws within the project team;lack of forums to talk and communicate problems and others;
482;Communication flaws within the project team;Sometimes proactive communication is missing ;
570;Communication flaws within the project team;"cultural differences; language differences; geographical separation; getting the right information to everybody that needs it";
586;Communication flaws within the project team;X thougt Y knew or thouhgt Y should know instead of asking ;
684;Communication flaws within the project team;Things can be built in the wrong way;
694;Communication flaws within the project team;"lack of communication skills ; lack of soft skills in general that affect team interactions";
868;Communication flaws within the project team;lack of models and techniques that increase the effectiveness of communication;
929;Communication flaws within the project team;leadership deficiencies;
1014;Communication flaws within the project team;less communication;
1033;Communication flaws within the project team;The team must have covenants or combinations in the use of a methodology that fosters communication and proactiveness;
1064;Communication flaws within the project team;Lack of requirement engineering competence:Lack of project management competence;
1221;Communication flaws within the project team;the client does not detail the whole process. sometimes it is necessary to observe;
1291;Communication flaws within the project team;Language barrier;
1339;Communication flaws within the project team;Conflict with daily activities;
1344;Communication flaws within the project team;Changes in requirements;
1354;Communication flaws within the project team;Insufficient support by project leader;
1411;Communication flaws within the project team;language barrier, cultural differences;
1820;Communication flaws within the project team;Little empathy in the team;
1965;Communication flaws within the project team;Multiple people to work simultaneously / very technical profile of the people of the technology provider of the project team;
147;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Roles and responsibilities are unclear;
165;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;time elapse between specification writing and commissioning (several years);
208;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;see timeboxing;
313;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Although all team members are meant to review requirements, time pressure means some team members do not consider them properly.;
442;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;risk aversion caused by patterns of business: reputational risk is very careful;
649;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;time and cost restraints;
984;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Regulatory and mainly resources for innovation;
1080;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Culture is formed by people who perform the same process for years and the change faces the disinterest in providing reliable instructions.;
1161;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;They want to automate everything;
1167;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;The product owner does not provide enough support to clarify requirements;
