lfdn;v_254;v_286;tag
35;Communication flaws between the project and the customer;lack of time;
126;Communication flaws between the project and the customer;Risk for the dev;
165;Communication flaws between the project and the customer;delays, budget overruns, sometimes reduction of deliverable performance (rarely);
444;Communication flaws between the project and the customer;Delays and downtime;
453;Communication flaws between the project and the customer;late problem detection;
719;Communication flaws between the project and the customer;Errors in the definition of functionalities;
947;Communication flaws between the project and the customer;false/incomplete things are implemented;
985;Communication flaws between the project and the customer;It generates certain inconsistencies or concerns that affect the final development of the project;
1091;Communication flaws between the project and the customer;"Wrong information; lack of information";
1111;Communication flaws between the project and the customer;rework and errors;
1168;Communication flaws between the project and the customer;"THE PROJECT DO NOT finish in TIME OR function as expected; PROBLEMS OF COSTS";
1171;Communication flaws between the project and the customer;Discomfort of the customer;
1279;Communication flaws between the project and the customer;Misinterpreting the requirement and making things potentially worse instead of better.;
1331;Communication flaws between the project and the customer;constant design changes in the project and and impacts in the analysis, development and testing;
1347;Communication flaws between the project and the customer;Possible solutions may not be completely adapted to the client's needs;
1351;Communication flaws between the project and the customer;UNSTABLE REPUTATION BY THE PARTIES;
1355;Communication flaws between the project and the customer;the DESIRED PRODUCT will not BE OBTAINED;
1403;Communication flaws between the project and the customer;"delays; misunderstanding";
1415;Communication flaws between the project and the customer;BUGS;
1526;Communication flaws between the project and the customer;Rework;
1650;Communication flaws between the project and the customer;Time;
1669;Communication flaws between the project and the customer;NONCONFORMITYor ERRORS with the CUSTOMER;
1844;Communication flaws between the project and the customer;creates misunderstandings;
205;Communication flaws within the project team;"rework; waiting; passive-aggressive behavior";
231;Communication flaws within the project team;Potentially not conforming to stakeholder needs;
387;Communication flaws within the project team;Decisions to ship a product version are false.;
928;Communication flaws within the project team;Creates an hostile environment between business and development teams, with responsibilities transfers.;
1006;Communication flaws within the project team;Causes unnecessary changes to the project;
1012;Communication flaws within the project team;Bad Quality;
1101;Communication flaws within the project team;delivery delays, rework;
1118;Communication flaws within the project team;Again, the same above;
1139;Communication flaws within the project team;Conflicts between developers and testers;
1406;Communication flaws within the project team;Misunderstandings;
1441;Communication flaws within the project team;Late changes, more effort;
1458;Communication flaws within the project team;Implementation time would be extended;
1918;Communication flaws within the project team;Failure to achieve the goals.;
1467;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;rework, extra test effort;
217;Gold plating (implementation of features without corresponding requirements);system that does not meet user needs;
259;Gold plating (implementation of features without corresponding requirements);waste of time;
549;Gold plating (implementation of features without corresponding requirements);Can lead to something being delivered/released but not exactly as required or with little/no explanation as to why/what was done;
649;Gold plating (implementation of features without corresponding requirements);bugs due to incorrect assumptions;
661;Gold plating (implementation of features without corresponding requirements);Work for nothing;
959;Gold plating (implementation of features without corresponding requirements);Lack of documentation and activity log;
1011;Gold plating (implementation of features without corresponding requirements);"increasing costs;increasing project runtimes";
1033;Gold plating (implementation of features without corresponding requirements);It will likely to generate waste, such as rework, removal since there is not a real need, unnecessary increase in complexity;
1350;Gold plating (implementation of features without corresponding requirements);THE SOFTWARE does not work well;
1357;Gold plating (implementation of features without corresponding requirements);Postponed development times;
58;Incomplete or hidden requirements;missing information;
150;Incomplete or hidden requirements;Scope changes, flawed / incomplete solution and dissatisfied business customer;
160;Incomplete or hidden requirements; bug  fixing to our costs;
364;Incomplete or hidden requirements;"project takes twice as long as previously planned; budget increases; everybody is annoyed";
427;Incomplete or hidden requirements;Risk of delays due to unforeseen extra work ;
479;Incomplete or hidden requirements;Requirements engineering teaching;
534;Incomplete or hidden requirements;Prioritizing improvements not aligned with the business;
626;Incomplete or hidden requirements;Important requirements not contemplated;
847;Incomplete or hidden requirements;Wasted resource to implement these at the end/failed projects ;
851;Incomplete or hidden requirements;"delays in deadlines; overwork";
856;Incomplete or hidden requirements;rework;
870;Incomplete or hidden requirements;Product out of specification;
909;Incomplete or hidden requirements;Delays in the project, deliveries not adhering actual  business needs, high level of maintenance / rework;
912;Incomplete or hidden requirements;Always an issue, can cause delays, re-work, lack of goal achievement;
990;Incomplete or hidden requirements;Requirements partially met or not met at all;
1070;Incomplete or hidden requirements;underestimation of delivery roadmaps - unhappy customer and management;
1141;Incomplete or hidden requirements;change requests, rework in later development phase;
1289;Incomplete or hidden requirements;Project delay and budget overrun. Expensive iterations to meet target;
1426;Incomplete or hidden requirements;"development needs many iterations to be finished; increased effort";
1482;Incomplete or hidden requirements;SOFTWARE DOES NOT WORK PROPERLY;
1805;Incomplete or hidden requirements;Delaying releases;
1840;Incomplete or hidden requirements;same as the first;
1894;Incomplete or hidden requirements;rework;
199;Inconsistent requirements;Failures in qualification and rework.  Also causes rework of the products being backfilled.;
263;Inconsistent requirements;"many change requests; late testing; long evelopment cycles";
359;Inconsistent requirements;Lack of ability to listen to requirements from customers;
1021;Inconsistent requirements;structural and functional errors;
1064;Inconsistent requirements;Project delays;
1066;Inconsistent requirements;chaos on the project, schedule delays, cost overrun;
1124;Inconsistent requirements;It will generate rework and / or inconsistent records between different areas.;
1126;Inconsistent requirements;"Product delivered without the necessary quality or with quality that is different from the expected; Unsatisfied client; Increased project development costs; Delays in deliveries;";
1316;Inconsistent requirements;redesign of various parts of functionality ;
1402;Inconsistent requirements;Product manager spends too much time clarifying issues that should have been addressed earlier in the process;
1675;Inconsistent requirements;Incorrectly implemented features;
1917;Inconsistent requirements;the same as above;
213;Insufficient support by customer;Delays, incorrect requirements;
278;Insufficient support by customer;Insufficient requirement specification, Incorrect requirement specification;
377;Insufficient support by customer;Poor quality requirements;
468;Insufficient support by customer;Incorrect implementations that do not meet the customer needs;
740;Insufficient support by customer;Dead times;
1051;Insufficient support by customer;Unsatisfactory product;
