lfdn;v_252;v_285;tag
160;Communication flaws between the project and the customer;implications by project people ;
249;Communication flaws between the project and the customer;Doing same work multiple times;
263;Communication flaws between the project and the customer;late sigh-off;
384;Communication flaws between the project and the customer;"great effort spent in clarification; risk that the software does not meet requirements";
637;Communication flaws between the project and the customer;Missing requirements.;
880;Communication flaws between the project and the customer;changes;
930;Communication flaws between the project and the customer;the customer and the project interpret different things about the same point;
1101;Communication flaws between the project and the customer;deadline, scope and cost problems;
1316;Communication flaws between the project and the customer;bad UX or wrong functionality;
1339;Communication flaws between the project and the customer;CRITICAL POINTS WITH PEOPLE that OPPOSE CHANGES;
1357;Communication flaws between the project and the customer;INCREASED RESOURCES TO MEET customer satisfaction;
1424;Communication flaws between the project and the customer;ABSENCE OF MATERIAL;
1828;Communication flaws between the project and the customer;"delays in work; difficulty in clarification of requirements";
1840;Communication flaws between the project and the customer;same as the first;
150;Communication flaws within the project team;Delays in schedule;
165;Communication flaws within the project team;delays, budget overruns, sometimes reduction of deliverable performance (rarely);
166;Communication flaws within the project team;process takes too long;
167;Communication flaws within the project team;"frustration; delays";
534;Communication flaws within the project team;low productivity meetings and lost time discussing;
722;Communication flaws within the project team;Lot of rework, bad team mood;
1055;Communication flaws within the project team;some difficulties at development time;
1126;Communication flaws within the project team;"Complications in the management of the activities of the team; Increased project development costs; Delays in deliveries;";
1415;Communication flaws within the project team;UNAVAILABILITY;
1620;Communication flaws within the project team;Relatively inconsequential in my experience. ;
1675;Communication flaws within the project team;Duplicate/redundant work;
1894;Communication flaws within the project team;"rework; team spirit disruptions;";
106;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Prolonged testing phase;
168;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;People neglect the demands of a project's finer details.;
213;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Delays;
570;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;longer time to market;
586;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;problems in defining requirements;
923;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Client interferance in the development process;
1031;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;customer dissatisfaction and within the team;
1207;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;functionality implemented does not meet the expectations;
1624;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;some requirements are not taken further;
1697;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Waste of time.;
1705;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;UNFINISHED PROJECTS;
182;Gold plating (implementation of features without corresponding requirements);Quality matters ;
188;Gold plating (implementation of features without corresponding requirements);"Delays in development; Demotivation in Dev Team";
215;Gold plating (implementation of features without corresponding requirements);increased costs, higher time effort to finish project;
467;Gold plating (implementation of features without corresponding requirements);necessary features are neglected, and characteristics not requested by the customer are given;
847;Gold plating (implementation of features without corresponding requirements);Wasted resource ;
864;Gold plating (implementation of features without corresponding requirements);Difficulty in maintenance and gaps in documentation;
909;Gold plating (implementation of features without corresponding requirements);Increased time and cost of the project;
937;Gold plating (implementation of features without corresponding requirements);Projects does not finish;
1651;Gold plating (implementation of features without corresponding requirements);Presents bloats project timeframes;
1969;Gold plating (implementation of features without corresponding requirements);The system does thing that aren't helpful to the customer;
93;Incomplete or hidden requirements;frustration in customers;
199;Incomplete or hidden requirements;Failures in qualification and rework.  Also causes rework of the products being backfilled.;
205;Incomplete or hidden requirements;"Usually unmet; dissatisfied customer";
268;Incomplete or hidden requirements;Bad quality;
283;Incomplete or hidden requirements;is it a requirement or not. Defect raised and development will state there is no such requirement.;
330;Incomplete or hidden requirements;loss of confidence, delays;
359;Incomplete or hidden requirements;Lack of ability to listen to requirements from customers;
573;Incomplete or hidden requirements;Deployed projects that do not met requirements;
649;Incomplete or hidden requirements;solution does not meet expectations;
661;Incomplete or hidden requirements;Work for nothing;
663;Incomplete or hidden requirements;Implication to project quality and project cost;
768;Incomplete or hidden requirements;incomplete requirements;
945;Incomplete or hidden requirements;Difficulties in developing requirements, delivering a software with features that do not meet the goal;
947;Incomplete or hidden requirements;false/incomplete things are implemented;
1064;Incomplete or hidden requirements;Project delays;
1066;Incomplete or hidden requirements;chaos on the project, schedule delays, cost overrun;
1069;Incomplete or hidden requirements;covering more stakeholders;
1076;Incomplete or hidden requirements;Model used by the institution;
1194;Incomplete or hidden requirements;"grater incident resolution times; It arises the need to incorporate stabilizing iterations";
1331;Incomplete or hidden requirements;constant design changes and impacts in developing and testing;
1341;Incomplete or hidden requirements;LACK OF training;
1349;Incomplete or hidden requirements;DEVELOPMENT do NOt Adhere to necesities;
1413;Incomplete or hidden requirements;Product failures;
1459;Incomplete or hidden requirements;REWORK;
1676;Incomplete or hidden requirements;this comes back to timeboxing any dependencies we have forgotten and  getting the work done , with the implication of having to come back later to properly fix or implement the previous story;
1727;Incomplete or hidden requirements;LACK OF RESOURCES;
1753;Incomplete or hidden requirements;For us this means  unknown requirements , which in turn will or wont be implemented (chance). Customer becomes frustrated but usually they agree that unknown requirements are hard to deliver - i.e. next sprint the requirement is known, and managed...;
1917;Incomplete or hidden requirements;the same as above;
1918;Incomplete or hidden requirements;Failure to achieve the goals.;
