lfdn;v_248;v_283;tag
91;Communication flaws between the project and the customer;unclear requirements;
208;Communication flaws between the project and the customer;One-Liner requirements with time pressure and unclear assumptions;
258;Communication flaws between the project and the customer;"more and more writing of specifications; long documentation cycles in which we try to specify things but when we're finished the basics already changed so we need to adapt again";
259;Communication flaws between the project and the customer;Requirement mismatch;
278;Communication flaws between the project and the customer;Insufficient support by customer;
511;Communication flaws between the project and the customer;Inconsistant requirements;
525;Communication flaws between the project and the customer;Builiding the wrong functions;
539;Communication flaws between the project and the customer;problems when carrying out requirements testing;
586;Communication flaws between the project and the customer;Not having the same picture of what to be delivered or how;
676;Communication flaws between the project and the customer;deadlines are delayed;
849;Communication flaws between the project and the customer;team with less engagement with customer success;
870;Communication flaws between the project and the customer;Product out of specification;
876;Communication flaws between the project and the customer;the customer does not follow the development;
933;Communication flaws between the project and the customer;final product insufficient and unsatisfactory.;
956;Communication flaws between the project and the customer;NP;
1006;Communication flaws between the project and the customer;Delay in delivery of the product;
1033;Communication flaws between the project and the customer;Rework, waste and frictions are inevitable;
1076;Communication flaws between the project and the customer;Delay in decision-making and requirements approval ;
1082;Communication flaws between the project and the customer;Involves requirements at medium or low depth;
1100;Communication flaws between the project and the customer;Rework;
1187;Communication flaws between the project and the customer;misunderstandings;
1189;Communication flaws between the project and the customer;Iteration in elicitation;
1354;Communication flaws between the project and the customer;DEMOTIVATION;
1419;Communication flaws between the project and the customer;INCOMPLETE INFORMATION;
1441;Communication flaws between the project and the customer;Late changes;
1457;Communication flaws between the project and the customer;USERS dissatisfaction;
1459;Communication flaws between the project and the customer;Customer dissatisfaction;
1526;Communication flaws between the project and the customer;Rework;
1617;Communication flaws between the project and the customer;Missing expectations, software that is not needed;
1650;Communication flaws between the project and the customer;"Time; wrong thing built";
1805;Communication flaws between the project and the customer;estimates are wrong;
1844;Communication flaws between the project and the customer;not always all problems are prevented;
1961;Communication flaws between the project and the customer;"lack of direction;no long term vision";
215;Communication flaws within the project team;unsatisfied team members, blaming and finger-pointing;
330;Communication flaws within the project team;delays, tension in the team, incomplete tasks;
446;Communication flaws within the project team;delivery impact;
479;Communication flaws within the project team;Communication Rules;
489;Communication flaws within the project team;bad customer acceptance;
518;Communication flaws within the project team;The work has to be rushed;
573;Communication flaws within the project team;Projects not fully meeting business reqauirements, waste of funding;
786;Communication flaws within the project team;Modules do not work together.;
924;Communication flaws within the project team;rework;
985;Communication flaws within the project team;rework;
1039;Communication flaws within the project team;Sprints with unnecessary or activities implemented in the wrong way;
1066;Communication flaws within the project team;chaos on the project, schedule delays, cost overrun;
1229;Communication flaws within the project team;The speed with which the work is performed is decreased, there may be effort duplication;
1238;Communication flaws within the project team;the same mistakes committed many times;
1239;Communication flaws within the project team;lost time due to rework;
1341;Communication flaws within the project team;LACK OF TRAINING;
1343;Communication flaws within the project team;FAILURE IN THE PRODUCT implementation;
1350;Communication flaws within the project team;ERRORS IN PROGRAMMING AND SOFTWARE COMPOSITION;
1413;Communication flaws within the project team;Miscommunication;
1454;Communication flaws within the project team;LACK OF trust BY CUSTOMER;
1482;Communication flaws within the project team;PROBLEMS IN code DEVELOPMENT AND INTERFACES;
