lfdn;v_246;v_282;tag
58;Communication flaws between the project and the customer;missing information;
120;Communication flaws between the project and the customer;Delay;
166;Communication flaws between the project and the customer;frustration on both sides;
167;Communication flaws between the project and the customer;"unhappy customer; building the wrong product";
178;Communication flaws between the project and the customer;requirements prepared pretty late;
179;Communication flaws between the project and the customer;poorly understood requirements;
217;Communication flaws between the project and the customer;development of unusable system;
304;Communication flaws between the project and the customer;phase too long for requirements;
364;Communication flaws between the project and the customer;"project takes twice as long as previously planned; budget increases; everybody is annoyed";
377;Communication flaws between the project and the customer;Lack of clarity for requirements;
425;Communication flaws between the project and the customer;Customer does not get what he need.;
437;Communication flaws between the project and the customer;not meeting goals;
446;Communication flaws between the project and the customer;delivery impact;
479;Communication flaws between the project and the customer;Communication Rules;
489;Communication flaws between the project and the customer;bad customer acceptance;
512;Communication flaws between the project and the customer;business value not added to product;
534;Communication flaws between the project and the customer;Expectations not well centered with the customer;
573;Communication flaws between the project and the customer;Frustration in busness, loss of credibility;
663;Communication flaws between the project and the customer;"Increasing project time; delayed delivering; wrong requirements; etc.";
694;Communication flaws between the project and the customer;spent time developing the wrong thing;
722;Communication flaws between the project and the customer;Terrific impact on the project success;
735;Communication flaws between the project and the customer;Delay in project development;
819;Communication flaws between the project and the customer;Incorrect understanding of the business;
856;Communication flaws between the project and the customer;"Delivery something unwanted by the customer; prioritization made by the team and not by the customer making deliveries not efficient";
857;Communication flaws between the project and the customer;different implementations of customer expectation;
864;Communication flaws between the project and the customer;incomplete or missing requirements ;
917;Communication flaws between the project and the customer;Rework;
924;Communication flaws between the project and the customer;rework;
929;Communication flaws between the project and the customer;Deficiency in identifying and addressing the real customer needs;
968;Communication flaws between the project and the customer;bad specified requirements. Rework;
1021;Communication flaws between the project and the customer;"stress in the project; structural system error";
1031;Communication flaws between the project and the customer;Rework, discomfort;
1039;Communication flaws between the project and the customer;Sprints with unnecessary activities  or implemented in the wrong way;
1066;Communication flaws between the project and the customer;chaos on the project, schedule delays, cost overrun;
1118;Communication flaws between the project and the customer;Project delays and/or deviations;
1159;Communication flaws between the project and the customer;failures IN THE PROJECT;
1239;Communication flaws between the project and the customer;implementation does not match customer expectation;
1283;Communication flaws between the project and the customer;Delays in time to market;
1341;Communication flaws between the project and the customer;PRODUCT FAILURES ;
1343;Communication flaws between the project and the customer;incorrect FUNCTIONAL requirements;
1344;Communication flaws between the project and the customer;DIFFERENT PRODUCT TO WHAT THE CUSTOMER WAnts;
1350;Communication flaws between the project and the customer;THE SOFTWARE DOES NOT MEET THE REQUIREMENTS OF THE CUSTOMER;
1402;Communication flaws between the project and the customer;Missing the  target , wasting resources;
1413;Communication flaws between the project and the customer;Product failures;
1416;Communication flaws between the project and the customer;PROJECT does not advance;
1454;Communication flaws between the project and the customer;LACK OF MONEY AND TIME;
