lfdn;v_250;v_284;tag
106;Communication flaws between the project and the customer;Schedule overrun;
150;Communication flaws between the project and the customer;Delays in schedule and scope changes;
188;Communication flaws between the project and the customer;"Delays in development; Demotivation in Dev Team";
267;Communication flaws between the project and the customer;Lossless in information ;
518;Communication flaws between the project and the customer;The work has to be rushed;
640;Communication flaws between the project and the customer;"confusion; reduction in client trust";
742;Communication flaws between the project and the customer;Potential for conflict if not handled carefully ;
945;Communication flaws between the project and the customer;software delivery with features that do not meet the goal, characterization of development team with inability to perform their work;
1114;Communication flaws between the project and the customer;Rework;
1126;Communication flaws between the project and the customer;"Product delivered without the necessary or different from the expected quality; Unsatisfied customer; Increased project development costs;";
1229;Communication flaws between the project and the customer;a different product from what the customer requires is developed;
1542;Communication flaws between the project and the customer;A bad image of the IT Team, perceived often as too slow, not performant, or a blocker, or incompetent, etc;
1663;Communication flaws between the project and the customer;time lost explaining the original intention to the customer;
1675;Communication flaws between the project and the customer;Incorrectly implemented features;
1896;Communication flaws between the project and the customer;Customer feedback is sometimes dismissed;
35;Communication flaws within the project team;"lack of experience in software develoment; lack of experience in digital companies (4.0)";
58;Communication flaws within the project team;no information flow;
249;Communication flaws within the project team;Doing same work multiple times;
278;Communication flaws within the project team;Lack of understanding between project members;
467;Communication flaws within the project team;"re work; double work; misunderstandings";
482;Communication flaws within the project team;Less efficiency and productivity ;
570;Communication flaws within the project team;wasted time;
586;Communication flaws within the project team;poblems in deploys;
694;Communication flaws within the project team;"overall project delays ; some times even conflict between team members";
868;Communication flaws within the project team;rework;
929;Communication flaws within the project team;Errors in the treatment of identified needs;
1014;Communication flaws within the project team;less communication;
1033;Communication flaws within the project team;The lack of internal synergies to the team generates a sense of hard work and little income or lack of recognition of the customer;
1064;Communication flaws within the project team;Project delays;
1291;Communication flaws within the project team;Danger of defects because of misunderstandings;
1339;Communication flaws within the project team;difficult COORDINATION AND FRUSTRATED or unproductive meetings;
1354;Communication flaws within the project team;LOSS OF KNOWLEDGE OF the PROJECT OBJECTIVE;
1411;Communication flaws within the project team;inefficient collaboration;
1820;Communication flaws within the project team;Extra hours;
1965;Communication flaws within the project team;extra effort;
147;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Rework;
165;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;delays, budget overruns, sometimes reduction of deliverable performance (rarely);
208;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;"overrunning budget; losing stakeholders acceptance";
