lfdn;v_248;v_278;tag
91;Communication flaws between the project and the customer;distributed locations (customer/project team);
208;Communication flaws between the project and the customer;too many customers, located distributed and doing cockfights behind the scenes.;
258;Communication flaws between the project and the customer;due to time needed for discussion which needs to be payed we try to fromulate requirements deeply ;
259;Communication flaws between the project and the customer;Requirement mismatch;
278;Communication flaws between the project and the customer;lack of trust relationship,  lack of communication capability of the project leader, lack of domain knowledge;
511;Communication flaws between the project and the customer;customer does not allocate enought resources (time);
525;Communication flaws between the project and the customer;the customer takes for granted that all function reqs are known;
545;Communication flaws between the project and the customer;culture;
586;Communication flaws between the project and the customer;not having all attending meetings, missing out on communication in different ways to different audinces;
676;Communication flaws between the project and the customer;Follow-up minutes are not made;
849;Communication flaws between the project and the customer;Hostile Customer - high-ranking security officer;
870;Communication flaws between the project and the customer;unprepared Business Analyst ;
876;Communication flaws between the project and the customer;the customer takes long to track project;
933;Communication flaws between the project and the customer;Customer does not know exactly what he wants.;
956;Communication flaws between the project and the customer;NP;
1006;Communication flaws between the project and the customer;The customer does not detail what he really wants;
1033;Communication flaws between the project and the customer;Agile is about collectiveness, the team must use the proper techniques to establish this communication and the client must have representatives with time for it;
1076;Communication flaws between the project and the customer;Both parties making decisions;
1082;Communication flaws between the project and the customer;It is not always possible to have a close and continuous contact with customer needs;
1100;Communication flaws between the project and the customer;Difficult to engage the customer in the project;
1187;Communication flaws between the project and the customer;There are too many heterogeneous customers;
1189;Communication flaws between the project and the customer;"Lack of a ""common dictionary""";
1262;Communication flaws between the project and the customer;Lack of Project Communication plan;
1354;Communication flaws between the project and the customer;Poor communication;
1419;Communication flaws between the project and the customer;Terminological problems;
1441;Communication flaws between the project and the customer;too much workload;
1457;Communication flaws between the project and the customer;Lack of customer knowledge in the solution;
1459;Communication flaws between the project and the customer;Lack of communication between the project and the customer;
1526;Communication flaws between the project and the customer;Weak domain knowledge;
1617;Communication flaws between the project and the customer;Project sponsor and project requestor have different demands and are overloaded ;
1650;Communication flaws between the project and the customer;The interface between them;
1805;Communication flaws between the project and the customer;Customer not used to formalize requirements;
1844;Communication flaws between the project and the customer;Little customer availability;
1961;Communication flaws between the project and the customer;lack of communication;
82;Communication flaws within the project team;It effects to close on project on time. ;
114;Communication flaws within the project team;lack of information about writing requirements on system and sw level;
215;Communication flaws within the project team;different parties involved, separated team locations;
330;Communication flaws within the project team;Each person on the team has a role, experience and knowledge regarding the business;
446;Communication flaws within the project team;inefficient work and unecessary coorination efforts;
479;Communication flaws within the project team;Terminology;
489;Communication flaws within the project team;not enough time;
518;Communication flaws within the project team;Sometimes people forget to mention some requirements from the client;
573;Communication flaws within the project team;Lack of analysis skills does not sufficiently support requirements gathering;
786;Communication flaws within the project team;Difficult to work as a team.;
924;Communication flaws within the project team;"team concern; team organization";
985;Communication flaws within the project team;First time working together;
1039;Communication flaws within the project team;misunderstanding due to the problem domain;
1066;Communication flaws within the project team;concurrent engineering of implementation in parallel with requirements development;
1229;Communication flaws within the project team;The team does not generate communication's dynamics;
1238;Communication flaws within the project team;Different autonomous teams that do not share learnings;
1239;Communication flaws within the project team;time pressure;
1288;Communication flaws within the project team;information comes to late;
1341;Communication flaws within the project team;The customer has another career;
1343;Communication flaws within the project team;Miscommunication between team leader and customer;
1350;Communication flaws within the project team;Bad relationship between team members;
1413;Communication flaws within the project team;Customer has another profession;
1449;Communication flaws within the project team;"misunderstanding; timing problem";
1454;Communication flaws within the project team;Poor relationship between client and project leader;
1482;Communication flaws within the project team;Bad relationship between project members;
1483;Communication flaws within the project team;Fear of losing status / position;
1484;Communication flaws within the project team;Problems caused by unknown application terms;
1485;Communication flaws within the project team;Weak access over the application domain;
1663;Communication flaws within the project team;offshore team members don't understand english well enough/lost in translation/tried to save face;
1669;Communication flaws within the project team;Ambiguous REQUIREMENTS INCONSISTENT;
1742;Communication flaws within the project team;forgotten/noneexisting communication regarding project related information or changes;
1756;Communication flaws within the project team;Different backgrounds and mindsets, not perfect understandinig of the solution domain;
1969;Communication flaws within the project team;Poor management within the team. I find most project managers are not technical so they are not competent to manage a technical team.;
30;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;We sometimes implement extra functions in research projects.;
199;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;People who do not believe in process try to find ways around the process ;
263;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;"corrupt processes; resistance to change";
425;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Customer does not get what he need.;
1347;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;"Solutions must take into account the product as a whole; the customer experience should be the best possible; you can not limit the customer scenarios";
1455;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Switching Goals;
1676;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;our customers (eg developers) want something  now , which forces us to timebox other tasks and come back at a later time.;
81;Gold plating (implementation of features without corresponding requirements);Providers solution with focus on specific customer rather than system-wide requirements;
313;Gold plating (implementation of features without corresponding requirements);Software developers sometimes insert a function they think is useful but which the customer does not want.  Very difficult in requirements to anticipate and specify everything that the product must NOT do.;
916;Gold plating (implementation of features without corresponding requirements);features Implementation  without requirements elicitation;
1163;Gold plating (implementation of features without corresponding requirements);Programming before stating the problem;
1327;Gold plating (implementation of features without corresponding requirements);Customer very often specifies to many requirements insted of think lean, start with a simple system and extend it when having more experiences.;
1344;Gold plating (implementation of features without corresponding requirements);Little knowledge of the process;
1356;Gold plating (implementation of features without corresponding requirements);The client hides information;
1424;Gold plating (implementation of features without corresponding requirements);Maintenance towards the client;
1433;Gold plating (implementation of features without corresponding requirements);Bad work's organization;
1467;Gold plating (implementation of features without corresponding requirements);insufficient discussion on how requirement should be solved;
1759;Gold plating (implementation of features without corresponding requirements);informal nature of the project;
119;Incomplete or hidden requirements;customer unaware of design issues;
146;Incomplete or hidden requirements;bad communication ;
147;Incomplete or hidden requirements;Project goal is unclear;
178;Incomplete or hidden requirements;given by external loosy documented system;
188;Incomplete or hidden requirements;Lack from Product Owner to answer important questions that would clarify Requirements.;
437;Incomplete or hidden requirements;lack of applied techniques;
444;Incomplete or hidden requirements;Wrong specification.;
485;Incomplete or hidden requirements;The tendency in requirements specification is to think that who collects the information has the same knowledge as who writes it.;
506;Incomplete or hidden requirements;not define requirement in detail;
640;Incomplete or hidden requirements;Extra effort required to implement features that the client simply did not request;
719;Incomplete or hidden requirements;"To assume an interpretation as correct; do not validate the information";
729;Incomplete or hidden requirements;Interlocutory users are not correctly assigned in some cases for requirements elicitation;
896;Incomplete or hidden requirements;Little experience in the requested business ;
900;Incomplete or hidden requirements;Incomplete in the sense of not meeting in full the business goals;
917;Incomplete or hidden requirements;insufficient time for gathering requirements, insufficient customer time, lack of customer commitment for approval of requirements / versions of the system;
921;Incomplete or hidden requirements;Lack of time and a process directed to keep well specified and detailed requirements;
930;Incomplete or hidden requirements;The need it is not specified;
958;Incomplete or hidden requirements;Customer does not know what he wants, but he already wants the system to be adequate.;
1011;Incomplete or hidden requirements;Incomplete project preparation on the customer side.;
1021;Incomplete or hidden requirements;botched analysis;
1124;Incomplete or hidden requirements;Lack of know-how on how to perform the requirements description and resistance to change.;
1159;Incomplete or hidden requirements;HIDDEN REQUIREMENTS;
1168;Incomplete or hidden requirements;Customer does not express their needs in detail;
1340;Incomplete or hidden requirements;Poor communication;
1402;Incomplete or hidden requirements;Communication and problem analysis skill sets weak in sales/marketing;
1403;Incomplete or hidden requirements;incomplete project specification and/or goals;
1411;Incomplete or hidden requirements;lecagy components with business logic which is not yet fully understood;
1462;Incomplete or hidden requirements;Customer does not clearly shows what he/she needs;
1560;Incomplete or hidden requirements;insufficient training in proper requirements illicitation and documentation;
1621;Incomplete or hidden requirements;Specifying requirements with  it should work like this product ;
1690;Incomplete or hidden requirements;The customer wants all changes immediately;
1718;Incomplete or hidden requirements;"Incomplete knowledge of the customer and the best way to solve the problem; Complexity of the software solution makes it challenging to consider all aspects of what needs to be changed";
1804;Incomplete or hidden requirements;Hardware Specification and External Suppliers;
1828;Incomplete or hidden requirements;lack of technical knowlede when writing the requirements;
1849;Incomplete or hidden requirements;Unclear user stories;
1933;Incomplete or hidden requirements;challenges in the actual deployment;
1965;Incomplete or hidden requirements;Implicit assumption that the technology provider knows all aspects of the client's business;
268;Inconsistent requirements;Too much unspecified requirements;
482;Inconsistent requirements;Dependency between many requirements ;
523;Inconsistent requirements;Lack of an analyst and a poorly written document;
910;Inconsistent requirements;Staff training in the elicitation and writing of requirements;
923;Inconsistent requirements;customer has trouble reporting the need - customer ignorance about the real need;
945;Inconsistent requirements;Lack of effective validation by the suppliers of the requirements;
1012;Inconsistent requirements;Incompatible changes are made and revoked due to compatibility issues.;
1051;Inconsistent requirements;Insufficient coordination;
1091;Inconsistent requirements;Problems in requirements gathering;
1194;Inconsistent requirements;It is very difficult to determine the impact of a change or improvement made on one or more elements of complex systems a priori.;
1349;Inconsistent requirements;Conflicting requirements between who have been in charge of the process;
1458;Inconsistent requirements;The requirements are raised from a non-technical point of view and many of them can not be achieved;
1668;Inconsistent requirements;Difficult to verbalize;
1670;Inconsistent requirements;Difficult to express;
1755;Inconsistent requirements;Same as above;
106;Insufficient support by customer;Business operations;
512;Insufficient support by customer;not educated enough into the process and therefore does not understand the importance of commitment;
684;Insufficient support by customer;The work dosent move forward;
722;Insufficient support by customer;Bad management;
918;Insufficient support by customer;Often the customer does not allocate time to requirements gathering and validation .;
929;Insufficient support by customer;Lack of priority in resource allocation;
952;Insufficient support by customer;not provide information which  they have ;
1062;Insufficient support by customer;customers do not participate;
1126;Insufficient support by customer;Key User does not master the subject or is not prepared to participate in the Requirements Engineering process;
1204;Insufficient support by customer;Client not staffed to handle the technical project;
1283;Insufficient support by customer;Lack of time, lack of knowledge;
1460;Insufficient support by customer;Lack of experience in web applications;
160;Insufficient support by project lead;they don't see the effort;
163;Insufficient support by project lead;"Project lead is absent at best; only communicates once per week if that";
203;Insufficient support by project lead;Answer same with the above;
210;Insufficient support by project lead;He / She lacks time to complete many tasks;
661;Insufficient support by project lead;inadequate coordinator;
825;Insufficient support by project lead;"Project leads changed throughout the project; Lead distracted by other work; Lack of understanding of the work done by BAs and why important";
909;Insufficient support by project lead;bit twiddler profile. Can not understand the real importance of requirements engineering in projects;
