lfdn;v_252;v_280;tag
160;Communication flaws between the project and the customer;project does not ask the customer WHY or what is the BENEFIT of customers requirements;
249;Communication flaws between the project and the customer;Customers don't know their role and responsibilities;
263;Communication flaws between the project and the customer;"time issues; complexity; different understanding of issues/definitions";
384;Communication flaws between the project and the customer;"All Business Analysts have business background; Customer has no IT knowledge and lacks some business knowledge ";
637;Communication flaws between the project and the customer;High pressure on business people.;
880;Communication flaws between the project and the customer;Client does not know the whole business process.;
918;Communication flaws between the project and the customer;"Customer is unclear on his needs;";
930;Communication flaws between the project and the customer;The client is not available whenever it is needed;
1101;Communication flaws between the project and the customer;Profile of the involved parties ;
1288;Communication flaws between the project and the customer;detailed feedback is missing;
1316;Communication flaws between the project and the customer;customers too far or unknown;
1339;Communication flaws between the project and the customer;Resistance to change;
1357;Communication flaws between the project and the customer;Customer does not seek a workable solution;
1424;Communication flaws between the project and the customer;Resources usability;
1828;Communication flaws between the project and the customer;difficult access from the customer side;
1840;Communication flaws between the project and the customer;same as the first;
150;Communication flaws within the project team;Individual resources and differences in work ethic;
165;Communication flaws within the project team;lack of methodology for collecting requirements;
167;Communication flaws within the project team;Leadership;
524;Communication flaws within the project team;He/She do not spend much time to communicating, and channels are not adequate;
534;Communication flaws within the project team;"Conflict of interests; Tell me how you measure me and I'll tell you how I behave";
722;Communication flaws within the project team;Not proficient team lead work;
1055;Communication flaws within the project team;some developers missing meetings;
1126;Communication flaws within the project team;Lack of definition of a formal model and regular communication between those involved in the project;
1340;Communication flaws within the project team;Bad atmosphere in the group;
1415;Communication flaws within the project team;Customers do not know what they want;
1620;Communication flaws within the project team;Different countries and working times - this is generally not an issue;
1675;Communication flaws within the project team;Personality differences;
1894;Communication flaws within the project team;Different technical skills lead to a different language and different understandings of what is requested or required;
106;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;No quality validation;
168;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;The project design is ambitious to the point that it neglects implementation details.;
213;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Probably the reason is a missing understanding of technical realization;
570;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;same process for (almost) all development regardless of class of requirement (operational exellence / technology leaderhip / customer intemacy);
586;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;new areas, new types of solutions, new types of business lots of unknown factors;
923;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;pseudo technical knowledge of the Customer;
1031;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;It is needed to innovate, but this is not easy in health.;
1207;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;very fast moving organisation and domain in general;
1384;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Different problems must focus on different aspects. A query from the web should focus on performance, and other less crowded on disk space. Not to differentiate these solutions leads to want simple solutions that lower perfoman;
1624;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;management needs to approve;
1697;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Some time the requirements are not specified enough and may cause wrong developments;
1705;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Changing or erroneous requirements;
182;Gold plating (implementation of features without corresponding requirements);Upgrade required ;
188;Gold plating (implementation of features without corresponding requirements);The fast moving market in which the Product operates, requires fast changes.;
215;Gold plating (implementation of features without corresponding requirements);individuals have stronger voice and push their needs over other stakeholders, missing understanding of (financial / time) impact of individual requests;
467;Gold plating (implementation of features without corresponding requirements);"lack of control of such problems; lack of constant validation by the client in order to not deploy more than necessary";
847;Gold plating (implementation of features without corresponding requirements);No overall product owner/manager to push back on unnecessary requirements ;
864;Gold plating (implementation of features without corresponding requirements);unexpected demands made by the upper management;
909;Gold plating (implementation of features without corresponding requirements);Requests are often parallel and touched by [people with] profiles that do not have sufficient technical and abstractions to identify, specify and manage requirements.;
937;Gold plating (implementation of features without corresponding requirements);once you give the small finger...;
1651;Gold plating (implementation of features without corresponding requirements);Building a scalable system before validating the customer needs;
1969;Gold plating (implementation of features without corresponding requirements);Developers implementing  cool  features without regard to the bigger picture.;
93;Incomplete or hidden requirements;"not able te see the total process; history of former system; ";
199;Incomplete or hidden requirements;Insufficient time spent in elicitation development and lack of proper review;
205;Incomplete or hidden requirements;"withheld in power-games; unable to articulate; only subconsciouse felt need";
268;Incomplete or hidden requirements;Requirements were written long ago;
283;Incomplete or hidden requirements;is it a requirement or not;
330;Incomplete or hidden requirements;Lack of customer involvement, varying degree of experience and business' knowledge of team people;
359;Incomplete or hidden requirements;There are specifications that the customer himself does not recognize.;
545;Incomplete or hidden requirements;time and knowledge;
572;Incomplete or hidden requirements;sorry suplication;
573;Incomplete or hidden requirements;Can lead to incomplete solutions;
