lfdn;v_246;v_277;tag
58;Communication flaws between the project and the customer;mistrust;
120;Communication flaws between the project and the customer;"Geographic ; contract";
137;Communication flaws between the project and the customer;receiving and implementing customer feedback ;
167;Communication flaws between the project and the customer;Competence;
178;Communication flaws between the project and the customer;incorporation of customer (should be PO) not working;
179;Communication flaws between the project and the customer;The language used is not compatible;
217;Communication flaws between the project and the customer;poor user knowledge;
295;Communication flaws between the project and the customer;Absence of sponsor;
304;Communication flaws between the project and the customer;"Time constraints;staff turnover";
364;Communication flaws between the project and the customer;"the main goal was not accepted by all participants; too many (inappropriate) people are involved ";
377;Communication flaws between the project and the customer;"Geographically dispersed; different timezones; cultural challenges";
425;Communication flaws between the project and the customer;Customer does not get what he need.;
437;Communication flaws between the project and the customer;Team technicians and managers lack of skills;
446;Communication flaws between the project and the customer;wrong or unknown reqs;
479;Communication flaws between the project and the customer;"Availability; No sense for requirements engineering";
489;Communication flaws between the project and the customer;not enough time;
512;Communication flaws between the project and the customer;not enough contact between the two;
534;Communication flaws between the project and the customer;Limited access to the customer, not to be centered at management level to the project;
573;Communication flaws between the project and the customer;Misunderstanding of real business needs;
663;Communication flaws between the project and the customer;"Missing overview which people are involved; Missing skills of correct communication; Missing structures";
694;Communication flaws between the project and the customer;customer not available as much as the project needs him ;
722;Communication flaws between the project and the customer;Bad management, not proficient analyst wotk;
735;Communication flaws between the project and the customer;Changing requirements without consent of the contracting party;
795;Communication flaws between the project and the customer;"Language barrier ; we're a sub vendor on some parts of the overall project and the main vendor is painful to deal with";
819;Communication flaws between the project and the customer;Lack of a more detailed explanation from the client;
856;Communication flaws between the project and the customer;The low customer availability;
857;Communication flaws between the project and the customer;Difficulties in the explanations of details fo the VAT Law;
864;Communication flaws between the project and the customer;Clients are usually unavailable to interviews and have difficulties in explaining the processes;
917;Communication flaws between the project and the customer;Insufficient time for requirements gathering, insufficient client time, lack of commitment on the part of the client for the approval of system requirements / versions;
924;Communication flaws between the project and the customer;"interest of the team; team organization";
929;Communication flaws between the project and the customer;Problems in the communication;
968;Communication flaws between the project and the customer;The client having enough time for the product;
1021;Communication flaws between the project and the customer;"incomplete data; work disorder; poor communication from the manager";
1031;Communication flaws between the project and the customer;Lack of customer participation;
1039;Communication flaws between the project and the customer;Lack of availability of the customer;
1066;Communication flaws between the project and the customer;concurrent engineering of implementation in parallel with requirements development;
1118;Communication flaws between the project and the customer;Agenda, hard to find time for meetings;
1159;Communication flaws between the project and the customer;CLIENT'S COMMUNICATION FAILURES;
1239;Communication flaws between the project and the customer;several levels of hierarchy between project and customer;
1283;Communication flaws between the project and the customer;Innappropriate people used as stakeholders, lack of knowledge;
1341;Communication flaws between the project and the customer;THE CLIENT DOES NOT KNOW THE TECHNOLOGY;
1343;Communication flaws between the project and the customer;CUSTOMERS DO NOT KNOW WHAT THEY SPECIFICALLY WANT;
1344;Communication flaws between the project and the customer;LACK OF COMMUNICATION;
1350;Communication flaws between the project and the customer;LACK OF KNOWLEDGE OF BUSINESS CUSTOMER;
1402;Communication flaws between the project and the customer;Communication skill sets weak in sales/marketing;
1413;Communication flaws between the project and the customer;The client does not know about development;
1416;Communication flaws between the project and the customer;BAD COMMUNICATION;
1454;Communication flaws between the project and the customer;Miscommunication between team members;
1482;Communication flaws between the project and the customer;BAD COMMUNICATION;
1483;Communication flaws between the project and the customer;change resistance;
1624;Communication flaws between the project and the customer;not enough clarity on what the customer needs;
1700;Communication flaws between the project and the customer;When the client knows what he/she wants;
1742;Communication flaws between the project and the customer;none communicated preassumptions regarding existing mutual understanding;
1756;Communication flaws between the project and the customer;Different backgrounds and mindsets, not perfect understandinig of the problem domain;
1831;Communication flaws between the project and the customer;Sometimes clients say they did not receive the report when we have evidence that they have received it...;
1849;Communication flaws between the project and the customer;"Lack of involvement from the end-user; bad communication practices from the product owner";
1965;Communication flaws between the project and the customer;Enough client technical knowledge;
1969;Communication flaws between the project and the customer;Organizational.  Someone in the managament chain doesn't see this as important.;
149;Communication flaws within the project team;Undersetimation of communication needs;
163;Communication flaws within the project team;misogynistic development team;
168;Communication flaws within the project team;No one wants to look stupid, so people refrain from asking questions.;
297;Communication flaws within the project team;RE is not naturally understood by all.;
444;Communication flaws within the project team;Information is managed through different channels and it isn't documented;
468;Communication flaws within the project team;Knowledge gap between technical people and non-technical people;
485;Communication flaws within the project team;It seems to have clear communication, but is not checking and there are always discrepancies at the end;
661;Communication flaws within the project team;Inadequate coordinator. People coming in for shifts or short periods.;
719;Communication flaws within the project team;He/She assumes an interpretation as correct, but not validate the information;
723;Communication flaws within the project team;lack of Communication;
768;Communication flaws within the project team;not talking or practicing daily meetings;
825;Communication flaws within the project team;"No one common understanding; Co-location was a struggle for some members; Inconsistent leadership; Frequent change of team members";
870;Communication flaws within the project team;The team has lack of experience;
876;Communication flaws within the project team;lack of knowledge of developers in the company's business process;
901;Communication flaws within the project team;"The team is physically separared; the requirements analyst is not part of the development team";
931;Communication flaws within the project team;Because we are talking about human beings, sometimes they can not understand the request, however this problem is soon solved when one starts working on the project due to prototyping;
956;Communication flaws within the project team;NP;
984;Communication flaws within the project team;Different perspectives and goals;
990;Communication flaws within the project team;Numerous demand from other systems;
1017;Communication flaws within the project team;weak documentation or badly organized/accessible documentation;
1076;Communication flaws within the project team;The detail of requirements;
1124;Communication flaws within the project team;Company culture and people from different ethnicities.;
1141;Communication flaws within the project team;weak project organisation;
1224;Communication flaws within the project team;Little time spent for elicitation;
1357;Communication flaws within the project team;Poor planning;
1419;Communication flaws within the project team;LACK OF COMMUNICATION;
1459;Communication flaws within the project team;Miscommunication, problems during team conformation;
1617;Communication flaws within the project team;Siloed teams, sitting in different areas, no common goal and purpose;
1698;Communication flaws within the project team;LACK OF COMMUNICATION;
1810;Communication flaws within the project team;Different personalities with different skill levels;
1840;Communication flaws within the project team;"several team members do not work full time and do not have to spend time on communication; understanding of different skills ";
1961;Communication flaws within the project team;generally people not doing what they say they are going to do;
258;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;need to assign budgets for too long periods (old way of thinking), rather volatile and unclear ideas of what customer wants and needs so prototypes needed to dicuss and go further;
506;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;technique challenge;
847;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Unsuitable methodology for projects ;
1486;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Lean startup means throwing solutions on a problem you don't know how to fix, so writing formal requirements is a distraction to playing around with different solutions.;
1690;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;The customer does not know what he/she wants;
146;Gold plating (implementation of features without corresponding requirements);bad cooperation, no requirements engineer in the team, they think it is not needed in agile development. ;
384;Gold plating (implementation of features without corresponding requirements);"customer does not understand orginal scope and wants to cover all possible business case exceptions; not willing to adjust business processes to fit the software";
640;Gold plating (implementation of features without corresponding requirements);"Extra effort required to implement features that the client simply did not request; implementation is beyond customer requirements";
774;Gold plating (implementation of features without corresponding requirements);Customer sometime do not under stand the problem they trying to solve as well.lack of BA;
1384;Gold plating (implementation of features without corresponding requirements);Many orders are made at the same time, which causes that the implementation in production does not follow an adequate order. Many times a development is made based on a previous order, which ends up being development later.;
1422;Gold plating (implementation of features without corresponding requirements);Unclear functional requirements;
1526;Gold plating (implementation of features without corresponding requirements);Over eagerness to please;
1620;Gold plating (implementation of features without corresponding requirements);"Developers trying to add their individual flair for personal reasons; when sponsored by lead trying to go beyond what project requires";
91;Incomplete or hidden requirements;few time for elaboration;
126;Incomplete or hidden requirements;Lack of product dev knowledge;
165;Incomplete or hidden requirements;lack of methodology for collecting requirements;
210;Incomplete or hidden requirements;lack of requirements gathering;
215;Incomplete or hidden requirements;stakeholders have not been asked sufficiently / from different perspectives, time pressure to compete requirements gathering;
230;Incomplete or hidden requirements;Due to the nature of the culture, some requirements are met (technically) yet many times the customer expected a higher degree of quality. (i.e. Taking measurements of time with minutes and seconds yet customer was expecting seconds, milliseconds,, etc). ;
267;Incomplete or hidden requirements;Too short time for analyzing, not enough trust full relationship with customers ;
378;Incomplete or hidden requirements;missing specification of functions of legacy system;
416;Incomplete or hidden requirements;Non professional requirement analyst;
453;Incomplete or hidden requirements;The customer think on the fly;
461;Incomplete or hidden requirements;lack of time, trouble communicating with the client, client does not provide complete information;
467;Incomplete or hidden requirements;Team inability to help the client for understand and identify their needs;
482;Incomplete or hidden requirements;Sometime customer has hidden requirements which tend to be explicit requirements ;
523;Incomplete or hidden requirements;Lack of an analyst and a poorly written document;
525;Incomplete or hidden requirements;the solution doesnt take into account certain hidden request of functionality;
541;Incomplete or hidden requirements;ChangeRequests are required at the end;
572;Incomplete or hidden requirements;requirements not defined upfront and aligned to the goal;
637;Incomplete or hidden requirements;Legacy requirements to be implemented in new application.;
676;Incomplete or hidden requirements;The client is not able to define adequately their ideas;
710;Incomplete or hidden requirements;shalow analysis from the product owner,lack of requirements validation with the client;
740;Incomplete or hidden requirements;weaknesses in processes;
865;Incomplete or hidden requirements;"Lack of knowledge; Lack of interest";
910;Incomplete or hidden requirements;Teams training in the elicitation and documentation of requirements;
932;Incomplete or hidden requirements;A clear definition of the project scope;
952;Incomplete or hidden requirements;so many gray ares which are not in scope;
1006;Incomplete or hidden requirements;Report Templates;
1014;Incomplete or hidden requirements;incomplete documentation;
